destination_radar,destination_radar_fr,destination_radar_en,homeport_destination_radar,ferme_bureau,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Local,Local,Local,France,La Rochelle,160,La Rochelle,île de Ré,,Arrada,Out,In,1789=10=24,1789>10>24,00340639
Local,Local,Local,Local,La Rochelle,32,La Rochelle,Brouage ,,Elisabeth,Out,In,1789=03=21,1789>03>21,00341953
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,0007097N,Grace de Dieu,Out,In,1789=12=02,1789>12>02,00338706
Local,Local,Local,Local,Tonnay-Charente,36,Tonnay-Charente,La Rochelle,0007400N,Union,Out,In,1789=11=04,1789>11>04,00341373
Europe,Europe,Europe,France,Marennes,46,Marennes,pas identifié,0004224N,Notre Dame de Condat,Out,In,1789=06=25,1789>06>25,00338418
Local,Local,Local,Local,Marennes,35,Marennes,Tonnay-Charente,,Trois frères,Out,In,1789=02=26,1789>02>26,00338457
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,,Rosalie,Out,In,1789=04=07,1789>04>07,00338487
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,,Angelique,Out,In,1789=06=03,1789>06>03,00338535
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,,Sainte Marie,Out,In,1789=06=10,1789>06>10,00338542
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,12,Noirmoutier,Nantes,0007136N,Jeanne Cécile,Out,In,1789=03=27,1789>03>27,00333224
Local,Local,Local,Local,Saint-Martin-de-Ré,15,Saint-Martin-de-Ré,Marennes,0007677N,Espion,Out,In,1789=06=12,1789>06>12,00337104
Local,Local,Local,France,Marennes,50,Marennes,Tonnay-Charente,,Reine des Anges,Out,In,1789=07=03,1789>07>03,00338559
Local,Local,Local,Local,Marans,14,Marans,Le Plomb,0021541N,Saint Louis,Out,In,1789=03=26,1789>03>26,00332938
France,France,France,France,Marennes,10,Ribérou,Côtes de Bretagne,,Saint Esprit,Out,In,1789=10=15,1789>10>15,00336445
Grande-Bretagne,Grande-Bretagne,Great Britain,Grande-Bretagne,Saint-Martin-de-Ré,160,Ars-en-Ré,Poole,,Hazard,Out,In,1789=02=13,1789>02>13,00337403
France,France,France,France,La Rochelle,7,La Rochelle,Arzon,,Sainte Anne,Out,In,1789=12=14,1789>12>14,00342054
Local,Local,Local,Local,Saint-Martin-de-Ré,64,Saint-Martin-de-Ré,La Rochelle,0001809N,Josephe Marie,Out,In,1789=02=06,1789>02>06,00332707
Local,Local,Local,Local,Marennes,35,Marennes,Tonnay-Charente,,Trois frères,Out,In,1789=07=21,1789>07>21,00338580
Local,Local,Local,Local,Marennes,30,Marennes,Tonnay-Charente,,Saint Jean Baptiste,Out,In,1789=07=23,1789>07>23,00338585
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,,Marie Claire,Out,In,1789=10=16,1789>10>16,00338655
Local,Local,Local,Local,Marennes,40,Marennes,Tonnay-Charente,,Madelaine,Out,In,1789=11=28,1789>11>28,00338701
France,France,France,France,Marennes,36,Marennes,Brest,,Saint Vincent,Out,In,1789=06=16,1789>06>16,00338798
Local,Local,Local,Local,Tonnay-Charente,39,Tonnay-Charente,La Rochelle,,Victoire,Out,In,1789=08=22,1789>08>22,00341317
France,France,France,France,Marennes,40,Marennes,Bordeaux,,Marie Francoise,Out,In,1789=05=20,1789>05>20,00338867
France,France,France,Local,Marennes,31,Marennes,Bordeaux,,Saint Luc,Out,In,1789=06=06,1789>06>06,00338876
France,France,France,Local,Rochefort,42,Rochefort,Le Havre,0002710N,Marie Françoise,Out,In,1789=01=31,1789>01>31,00333678
Local,Local,Local,Local,Marans,17,Marans,île d'Oléron,0007770N,Saint Paul,Out,In,1789=11=12,1789>11>12,00334910
Local,Local,Local,Local,Marans,14,Marans,Le Plomb,0021541N,Saint Louis,Out,In,1789=04=22,1789>04>22,00332939
France,France,France,France,Les Sables-d'Olonne,10,Les Sables-d'Olonne,Côtes de Bretagne,,Saint Nicolas,Out,In,1789=10=19,1789>10>19,00338413
Local,Local,Local,Local,Marans,40,Marans,Rochefort,0006326N,Aimable,Out,In,1789=10=14,1789>10>14,00333669
Local,Local,Local,Local,Marennes,29,Marennes,Marans,,Aimable,Out,In,1789=08=18,1789>08>18,00339253
Local,Local,Local,Local,Rochefort,60,Rochefort,Tonnay-Charente,,Conducteur,Out,In,1789=04=25,1789>04>25,00340267
Europe,Europe,Europe,Local,Les Sables-d'Olonne,5,Saint-Michel-en-l'Herm,pas mentionné,0021663N,Grand Hivert,Out,In,1789=11=17,1789>11>17,00342168
Local,Local,Local,Local,Saint-Martin-de-Ré,9,Saint-Martin-de-Ré,La Rochelle,,Benjamin,Out,In,1789=01=21,1789>01>21,00333081
Local,Local,Local,Local,Les Sables-d'Olonne,26,Les Sables-d'Olonne,La Flotte-en-Ré,,Benjamin,Out,In,1789=07=04,1789>07>04,00333118
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Marennes,101,Marennes,Dunkerque,,Marie Anne,Out,In,1789=09=25,1789>09>25,00338270
Local,Local,Local,Local,Tonnay-Charente,38,Tonnay-Charente,La Rochelle,,Sainte Marie,Out,In,1789=01=27,1789>01>27,00341183
France,France,France,Local,Les Sables-d'Olonne,26,île de Bouin,Nantes,,Magdelaine,Out,In,1789=09=04,1789>09>04,00337506
France,France,France,France,Les Sables-d'Olonne,28,île de Bouin,Nantes,,Sainte Anne,Out,In,1789=09=07,1789>09>07,00337507
France,France,France,France,Marennes,59,Marennes,Bordeaux,,Marie Jeanne,Out,In,1789=05=09,1789>05>09,00338859
France,France,France,France,Marennes,39,Marennes,Bordeaux,,Gaspard,Out,In,1789=08=22,1789>08>22,00338908
France,France,France,France,Rochefort,50,Rochefort,Nantes,0000212N,Marie Sainte Anne,Out,In,1789=08=27,1789>08>27,00340164
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Marennes,76,Marennes,Dunkerque,0001072N,La Bonne Foy,Out,In,1789=10=22,1789>10>22,00338281
Europe,Europe,Europe,Local,Les Sables-d'Olonne,5,Saint-Michel-en-l'Herm,pas mentionné,0008974N,Solide,Out,In,1789=10=15,1789>10>15,00342160
Local,Local,Local,Local,Marennes,3,Le Château-d'Oléron,Rochefort,0007464N,Suzane,Out,In,1789=03=29,1789>03>29,00340536
Local,Local,Local,Local,Tonnay-Charente,39,Tonnay-Charente,La Rochelle,0007723N,Saint Ustélle,Out,In,1789=02=14,1789>02>14,00341197
France,France,France,France,Marennes,116,Marennes,Le Havre,,Aventurier,Out,In,1789=07=27,1789>07>27,00338068
France,France,France,Local,Marennes,57,Marennes,Gravelines,,Société,Out,In,1789=10=03,1789>10>03,00338091
Local,Local,Local,Local,La Rochelle,30,La Rochelle,Tonnay-Charente,0021995N,Marie Sussanne,Out,In,1789=10=15,1789>10>15,00341820
Local,Local,Local,Local,Marennes,20,Ribérou,La Rochelle,,Françoise,Out,In,1789=08=28,1789>08>28,00333351
France,France,France,France,Marennes,54,Marennes,Gravelines,,Saint Nicolas,Out,In,1789=07=10,1789>07>10,00338107
France,France,France,France,Marennes,62,Marennes,Gravelines,,Saint Louis,Out,In,1789=08=24,1789>08>24,00338113
Local,Local,Local,France,La Rochelle,31,La Rochelle,Rochefort,,Petite Frere,Out,In,1789=06=27,1789>06>27,00340583
Local,Local,Local,Local,La Rochelle,14,La Rochelle,La Perrotine,,Marthe,Out,In,1789=04=16,1789>04>16,00340742
France,France,France,France,Marennes,51,Marennes,Gravelines,,Providance,Out,In,1789=10=05,1789>10>05,00338122
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,80,Noirmoutier,Étaples ,,Marie Arsenne,Out,In,1789=05=12,1789>05>12,00338186
Local,Local,Local,Local,La Rochelle,36,La Rochelle,Tonnay-Charente,,Victoire,Out,In,1789=03=12,1789>03>12,00341686
France,France,France,France,Rochefort,150,Rochefort,Nantes,,Marianne,Out,In,1789=04=08,1789>04>08,00340156
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Marennes,71,Marennes,Dunkerque,,Saint Charles,Out,In,1789=09=12,1789>09>12,00338254
France,France,France,Local,Tonnay-Charente,20,Tonnay-Charente,Bordeaux,,Saint Antoine,Out,In,1789=10=07,1789>10>07,00342004
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Marennes,112,Marennes,Dunkerque,,Neptune,Out,In,1789=09=19,1789>09>19,00338264
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Marennes,70,Marennes,Dunkerque,,Espérance,Out,In,1789=10=19,1789>10>19,00338279
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Châlon,0007783N,Saint Etienne,Out,In,1789=09=25,1789>09>25,00341916
France,France,France,France,La Rochelle,26,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=08=08,1789>08>08,00341561
France,France,France,France,La Rochelle,4,La Rochelle,Le Croisic,,Saint Louis,Out,In,1789=09=12,1789>09>12,00341589
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Marennes,81,Marennes,Dunkerque,,Comtésse de Grally,Out,In,1789=11=24,1789>11>24,00338301
France,France,France,France,La Rochelle,12,La Rochelle,Le Croisic,0008446N,Sainte Anne,Out,In,1789=07=27,1789>07>27,00341548
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Châlon,,Heureux Commerce,Out,In,1789=09=24,1789>09>24,00341915
Local,Local,Local,Local,Tonnay-Charente,36,Tonnay-Charente,Port-d'Envaux,,Petite Marie,Out,In,1789=12=07,1789>12>07,00342064
France,France,France,France,Marans,4,Marans,Côtes de Bretagne,0021027N,Sainte Anne,Out,In,1789=08=17,1789>08>17,00336558
Local,Local,Local,Local,Marennes,12,Ribérou,île d'Oléron,,Marguerite,Out,In,1789=12=12,1789>12>12,00333618
Europe,Europe,Europe,Europe,Saint-Martin-de-Ré,70,Ars-en-Ré,Stavanger,,Anne Catherinne,Out,In,1789=06=04,1789>06>04,00337266
Europe,Europe,Europe,Europe,Les Sables-d'Olonne,200,Noirmoutier,Mer Baltique,,Carret Emeliis,Out,In,1789=07=11,1789>07>11,00339153
France,France,France,France,La Rochelle,15,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=07=09,1789>07>09,00341531
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Ports francs et petites îles,Les Sables-d'Olonne,60,Noirmoutier,Dunkerque,,Dauphin,Out,In,1789=05=09,1789>05>09,00338329
France,France,France,France,La Rochelle,18,La Rochelle,Le Croisic,,Saint Jean,Out,In,1789=09=11,1789>09>11,00341586
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Ports francs et petites îles,Les Sables-d'Olonne,,Noirmoutier,Dunkerque,,Jeune Anette,Out,In,1789=08=11,1789>08>11,00338333
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Les Sables-d'Olonne,90,Noirmoutier,Dunkerque,,Marie Joseph,Out,In,1789=09=24,1789>09>24,00338344
France,France,France,France,La Rochelle,30,La Rochelle,Le Croisic,,Saint Pierre,Out,In,1789=10=23,1789>10>23,00341611
France,France,France,France,Marennes,60,Marennes,Dieppe,,Marie Anne,Out,In,1789=09=09,1789>09>09,00338370
Local,Local,Local,Local,Marennes,40,Marennes,Tonnay-Charente,,Madelaine,Out,In,1789=02=04,1789>02>04,00338439
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Châlon,,Benigne,Out,In,1789=04=06,1789>04>06,00341880
Local,Local,Local,Local,Marennes,15,Marennes,La Rochelle,0006487N,Marie Lagrange,Out,In,1789=06=26,1789>06>26,00339756
Local,Local,Local,Local,La Rochelle,20,La Rochelle,Châlon,,Heureux Commerce,Out,In,1789=11=04,1789>11>04,00341923
France,France,France,France,La Rochelle,4,La Rochelle,Le Croisic,0004284N,Saint Jean,Out,In,1789=09=17,1789>09>17,00341592
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,0006575N,Geneviève,Out,In,1789=04=01,1789>04>01,00338481
France,France,France,France,Les Sables-d'Olonne,4,Les Sables-d'Olonne,Côtes de Bretagne,0010484N,Saint Louis,Out,In,1789=09=21,1789>09>21,00338402
Local,Local,Local,Local,Tonnay-Charente,30,Tonnay-Charente,île de Ré,0006861N,Providance,Out,In,1789=05=06,1789>05>06,00340671
France,France,France,France,Marennes,37,Marennes,Libourne,0006852N,Aimable Jeanne,Out,In,1789=07=11,1789>07>11,00337738
Local,Local,Local,Local,La Rochelle,15,La Rochelle,île d'Oléron,0007677N,Espion,Out,In,1789=09=12,1789>09>12,00340861
France,France,France,France,Marennes,71,Marennes,Calais,0008581N,Aimable Jeanne Francoise,Out,In,1789=10=14,1789>10>14,00338730
Local,Local,Local,Local,Marennes,10,Soubise,île d'Oléron,0009618N,Société,In-Out,In,1789=11=11,1789>11>11,00339737
Local,Local,Local,Local,Marans,27,Marans,île d'Oléron,0009668N,Saint Jacques,Out,In,1789=02=13,1789>02>13,00333702
France,France,France,France,La Rochelle,11,La Rochelle,Le Croisic,0012865N,Saint Anne,Out,In,1789=11=05,1789>11>05,00341614
Local,Local,Local,France,Saint-Martin-de-Ré,5,La Flotte-en-Ré,mer des Pertuis,0016282N,Sainte Anne,In-Out,In,1789=04=30,1789>04>30,00339464
France,France,France,France,Saint-Martin-de-Ré,8,La Flotte-en-Ré,Quiberon,0016282N,Sainte Anne,In-Out,In,1789=05=09,1789>05>10,00340010
Local,Local,Local,Local,Saint-Martin-de-Ré,8,La Flotte-en-Ré,île d'Oléron,0021112N,Societté,In-Out,In,1789=04=09,1789>04>09,00332653
Local,Local,Local,Local,La Rochelle,18,La Rochelle,île d'Oléron,0007079N,Davizard,Out,In,1789=04=10,1789>04>10,00340803
Local,Local,Local,Local,Marennes,6,Le Château-d'Oléron,La Rochelle,,Deux Sœurs,Out,In,1789=10=03,1789>10>03,00341410
Local,Local,Local,France,Marans,18,Marans,île d'Oléron,0021647N,Coureau,Out,In,1789=04=21,1789>04>21,00334894
Local,Local,Local,Local,Marennes,20,Marennes,Marans,0007318N,Diligente,Out,In,1789=06=12,1789>06>12,00336668
Local,Local,Local,Local,Tonnay-Charente,26,Tonnay-Charente,île de Ré,0021697N,Marie Magdelaine,Out,In,1789=08=17,1789>08>17,00340695
Local,Local,Local,Local,Les Sables-d'Olonne,20,Moricq,Marennes,0007318N,Diligente,Out,In,1789=08=01,1789>08>01,00333716
Local,Local,Local,Local,Marennes,20,Marennes,Marans,0007318N,Diligente,Out,In,1789=09=19,1789>09>19,00339796
Local,Local,Local,France,La Rochelle,30,La Rochelle,île de Ré,,Jeune Marie,Out,In,1789=11=07,1789>11>07,00341436
France,France,France,France,Marans,41,Marans,Libourne,,Victoire,Out,In,1789=03=20,1789>03>20,00333916
Local,Local,Local,Local,Tonnay-Charente,20,Tonnay-Charente,île de Ré,,Patiance,Out,In,1789=06=26,1789>06>26,00341442
Local,Local,Local,Europe,La Rochelle,60,La Rochelle,île de Ré,,Jeune Fecke,Out,In,1789=03=26,1789>03>26,00341453
Local,Local,Local,Local,La Rochelle,1,La Rochelle,l'Aiguillon,,Marie Jeanne,Out,In,1789=09=15,1789>09>15,00341496
France,France,France,France,Tonnay-Charente,29,Tonnay-Charente,Le Croisic,,Marie Louise,Out,In,1789=07=06,1789>07>06,00341526
France,France,France,France,La Rochelle,14,La Rochelle,Le Croisic,,Sainte Anne,Out,In,1789=08=22,1789>08>22,00341572
France,France,France,France,La Rochelle,28,La Rochelle,Arzon,,Sainte Anne,Out,In,1789=09=04,1789>09>04,00342053
France,France,France,France,Marans,35,Marans,Bordeaux,,Espérance,Out,In,1789=07=01,1789>07>01,00333723
France,France,France,Ports francs et petites îles,Les Sables-d'Olonne,34,Noirmoutier,Nantes,,Brochet,Out,In,1789=08=25,1789>08>25,00333825
Local,Local,Local,Local,Tonnay-Charente,30,Tonnay-Charente,île de Ré,,Providance,Out,In,1789=05=13,1789>05>13,00337081
France,France,France,France,Tonnay-Charente,15,Tonnay-Charente,Quiberon,,Espérance,Out,In,1789=08=05,1789>08>05,00340736
Local,Local,Local,Local,Saint-Martin-de-Ré,36,Saint-Martin-de-Ré,Marennes,,Don de Dieu,Out,In,1789=07=04,1789>07>04,00336228
France,France,France,France,Marennes,19,Marennes,Vannes,,Saint Joseph,Out,In,1789=03=21,1789>03>21,00337247
Local,Local,Local,Local,Tonnay-Charente,32,Tonnay-Charente,île d'Oléron,,Elizabeth,Out,In,1789=12=29,1789>12>29,00340785
France,France,France,France,Saint-Martin-de-Ré,24,Saint-Martin-de-Ré,Auray,,Notre Dame,Out,In,1789=01=21,1789>01>21,00340011
Local,Local,Local,Local,Tonnay-Charente,35,Tonnay-Charente,La Rochelle,0007972N,Victoire,Out,In,1789=11=10,1789>11>10,00341379
France,France,France,Ports francs et petites îles,Marans,45,Marans,Bordeaux,,Saint Antoine,Out,In,1789=02=04,1789>02>04,00334973
Local,Local,Local,Local,Tonnay-Charente,32,Tonnay-Charente,La Rochelle,0007532N,Saint François,Out,In,1789=02=11,1789>02>11,00341189
Local,Local,Local,Local,Tonnay-Charente,32,Tonnay-Charente,La Rochelle,0007532N,Saint François,Out,In,1789=06=12,1789>06>12,00341270
Local,Local,Local,Local,Tonnay-Charente,32,Tonnay-Charente,La Rochelle,0007532N,Saint François,Out,In,1789=07=29,1789>07>29,00341297
Local,Local,Local,Local,Tonnay-Charente,32,Tonnay-Charente,La Rochelle,0007532N,Saint François,Out,In,1789=08=18,1789>08>18,00341313
Local,Local,Local,Local,Rochefort,5,Rochefort,Tonnay-Charente,0007635N,Princesse,Out,In,1789=05=08,1789>05>08,00336790
Local,Local,Local,Local,Tonnay-Charente,35,Tonnay-Charente,La Rochelle,0007972N,Victoire,Out,In,1789=10=15,1789>10>15,00341355
Europe,Europe,Europe,Local,Les Sables-d'Olonne,4,Saint-Michel-en-l'Herm,pas mentionné,,Sainte Anne,Out,In,1789=09=26,1789>09>26,00342147
Local,Local,Local,France,La Rochelle,30,La Rochelle,Rochefort,,Petit Frere,Out,In,1789=11=27,1789>11>27,00340612
Local,Local,Local,Local,Rochefort,36,Rochefort,Tonnay-Charente,0012208N,Saint Joseph,Out,In,1789=02=27,1789>02>27,00340254
Local,Local,Local,Local,Marennes,30,Marennes,Tonnay-Charente,0012294N,Charlotte,Out,In,1789=04=08,1789>04>08,00338490
Local,Local,Local,Local,Marennes,30,Marennes,Marans,0007556N,Saint Michel,Out,In,1789=02=10,1789>02>10,00336659
Local,Local,Local,Local,Les Sables-d'Olonne,30,Moricq,Marennes,0007556N,Saint Michel,Out,In,1789=03=02,1789>03>02,00332777
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Marennes,75,Marennes,Dunkerque,0007598N,Saint Mathieu,Out,In,1789=09=23,1789>09>23,00338269
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Local,Les Sables-d'Olonne,50,Les Sables-d'Olonne,Bayonne,0007600N,Ville de Cadix,Out,In,1789=08=10,1789>08>10,00339114
France,France,France,France,Marans,30,Marans,Bordeaux,,Saint Alexandre,Out,In,1789=10=10,1789>10>10,00333788
Local,Local,Local,Local,Marans,4,Marans,La Flotte-en-Ré,0007623N,Espérance,Out,In,1789=05=13,1789>05>13,00334955
Local,Local,Local,Local,Marennes,37,Marennes,Tonnay-Charente,,Elizabeth,Out,In,1789=06=02,1789>06>02,00338532
Local,Local,Local,Local,La Rochelle,55,La Rochelle,Marennes,,Deux Soeures,Out,In,1789=10=08,1789>10>08,00340991
France,France,France,Local,Marennes,29,Marennes,Bordeaux,,Saint Luc,Out,In,1789=12=09,1789>12>09,00338989
Local,Local,Local,Local,Marennes,18,Marennes,Marans,,Saint Jaques,Out,In,1789=11=20,1789>11>20,00339273
France,France,France,Local,Marans,50,Marans,Bordeaux,0001968N,Hazard,Out,In,1789=01=31,1789>01>31,00333718
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,0007628N,Grace de Dieu,Out,In,1789=02=05,1789>02>05,00338441
Local,Local,Local,Local,Tonnay-Charente,36,Tonnay-Charente,Marans,0006355N,Trois Sœurs,Out,In,1789=07=20,1789>07>20,00341048
Local,Local,Local,Local,Tonnay-Charente,37,Tonnay-Charente,La Rochelle,0007723N,Sainte Ustelle,Out,In,1789=03=16,1789>03>16,00341214
Local,Local,Local,Local,La Rochelle,39,La Rochelle,Tonnay-Charente,0007723N,Sainte Ustelle,Out,In,1789=04=30,1789>04>30,00341717
Local,Local,Local,Local,Tonnay-Charente,39,Tonnay-Charente,La Rochelle,0007723N,Sainte Ustelle,Out,In,1789=05=13,1789>05>13,00341254
Local,Local,Local,Local,Tonnay-Charente,39,Tonnay-Charente,La Rochelle,0007723N,Sainte Ustelle,Out,In,1789=10=24,1789>10>24,00341362
Local,Local,Local,Local,Tonnay-Charente,40,Tonnay-Charente,La Rochelle,0007723N,Sainte Ustelle,Out,In,1789=11=21,1789>11>21,00341383
Local,Local,Local,Local,La Rochelle,40,La Rochelle,Tonnay-Charente,0008650N,Pierre Jean,Out,In,1789=06=17,1789>06>17,00341746
Local,Local,Local,Local,Marennes,18,Marennes,Marans,0009432N,Don de Dieu,Out,In,1789=03=27,1789>03>27,00339232
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=06=12,1789>06>12,00338544
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,0007760N,Marianne,Out,In,1789=08=13,1789>08>13,00338600
Local,Local,Local,Local,Tonnay-Charente,40,Tonnay-Charente,La Rochelle,,Marianne,Out,In,1789=09=22,1789>09>22,00341336
Local,Local,Local,Local,Marennes,40,Marennes,Tonnay-Charente,0021480N,Jeune Joseph,Out,In,1789=05=11,1789>05>11,00338517
France,France,France,France,Les Sables-d'Olonne,40,Noirmoutier,Nantes,,Jeanne Marie,Out,In,1789=03=28,1789>03>28,00337534
Local,Local,Local,France,La Rochelle,152,La Rochelle,île de Ré,,Bruno,Out,In,1789=03=30,1789>03>30,00341455
France,France,France,France,Les Sables-d'Olonne,30,Noirmoutier,Nantes,,Jeanne Bonne Nouvelle,Out,In,1789=04=08,1789>04>08,00337541
France,France,France,Local,Marennes,45,Marennes,Libourne,,Cathérine,Out,In,1789=05=01,1789>05>01,00337699
Local,Local,Local,Local,Marennes,36,Marennes,Tonnay-Charente,,Saint Pierre,Out,In,1789=09=25,1789>09>25,00338639
France,France,France,Local,La Rochelle,20,La Rochelle,Bordeaux,,Coutiche,Out,In,1789=05=22,1789>05>22,00342021
Local,Local,Local,Local,Marans,24,Marans,Tonnay-Charente,,Petit Saint Jean,Out,In,1789=07=08,1789>07>08,00336470
Local,Local,Local,Local,Marans,25,Marans,La Flotte-en-Ré,0008058N,Marie Claire,Out,In,1789=03=03,1789>03>03,00333683
France,France,France,France,Marennes,112,Marennes,Honfleur,,Aimable Adelaïde,Out,In,1789=06=16,1789>06>16,00337952
Local,Local,Local,France,Rochefort,90,Rochefort,Saint-Savinien,,Marie Thérèse,Out,In,1789=06=16,1789>06>16,00340100
France,France,France,France,Marennes,133,Marennes,Honfleur,,Don de Dieu,Out,In,1789=06=16,1789>06>16,00337954
France,France,France,France,Marennes,85,Marennes,Honfleur,,Revanche,Out,In,1789=06=26,1789>06>26,00337976
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,Ports francs et petites îles,Marennes,66,Marennes,Bayonne,,Saint Louis,Out,In,1789=10=16,1789>10>16,00339096
Grande-Bretagne,Grande-Bretagne,Great Britain,Grande-Bretagne,Saint-Martin-de-Ré,90,Ars-en-Ré,Dartmouth,,Jean,Out,In,1789=03=09,1789>03>09,00338373
France,France,France,France,Les Sables-d'Olonne,7,Les Sables-d'Olonne,Côtes de Bretagne,,Sainte Anne,Out,In,1789=10=10,1789>10>10,00338411
Local,Local,Local,Local,La Rochelle,118,La Rochelle,Tonnay-Charente,0001092N,Silphide,Out,In,1789=02=13,1789>02>13,00341669
France,France,France,France,Marennes,62,Marennes,Caen ,,Bretonne,Out,In,1789=05=30,1789>05>30,00338792
France,France,France,Local,Marennes,29,Marennes,Blaye,,Saint Antoine,Out,In,1789=09=17,1789>09>17,00339037
Local,Local,Local,France,La Rochelle,115,La Rochelle,Seudre,,César,Out,In,1789=06=27,1789>06>27,00340374
France,France,France,France,Tonnay-Charente,70,Tonnay-Charente,Saint-Valéry-sur-Somme,,Bonne Gulitigeme,Out,In,1789=04=27,1789>04>27,00340384
France,France,France,Local,Marennes,38,Marennes,Castelnau,,Saint Leonard,Out,In,1789=08=24,1789>08>24,00338728
France,France,France,France,Marennes,64,Marennes,Caen ,,Marie Anne,Out,In,1789=04=08,1789>04>08,00338740
Local,Local,Local,Local,Les Sables-d'Olonne,2,Saint-Michel-en-l'Herm,Marans,0009444N,Saint Francois,Out,In,1789=06=04,1789>06>04,00342121
France,France,France,France,Marennes,54,Marennes,Caen ,,Bonnefoi,Out,In,1789=04=20,1789>04>20,00338751
France,France,France,Local,Marans,15,Marans,Bordeaux,0007067N,Vallée de Saint Pierre,Out,In,1789=01=24,1789>01>24,00334961
France,France,France,France,Marennes,59,Marennes,Caen ,,Sainte Anne,Out,In,1789=04=27,1789>04>27,00338768
France,France,France,France,Marennes,55,Marennes,Caen ,,Sainte Anne,Out,In,1789=06=08,1789>06>08,00338794
Afrique,Afrique,Unknown,Local,La Rochelle,369,La Rochelle,Calabar,,Duc de Saint Aignan,Out,In,1789=07=06,1789>07>06,00341480
Europe,Europe,Europe,Europe,Les Sables-d'Olonne,200,Noirmoutier,Mer Baltique,,Minerve,Out,In,1789=07=27,1789>07>27,00339158
Grande-Bretagne,Grande-Bretagne,Great Britain,Grande-Bretagne,Tonnay-Charente,125,Tonnay-Charente,Londres,,Navigation,Out,In,1789=02=19,1789>02>19,00341086
Local,Local,Local,Local,Marennes,52,Marennes,Tonnay-Charente,0007793N,Deux amis,Out,In,1789=02=09,1789>02>09,00338445
Europe,Europe,Europe,France,Marennes,156,Marennes,Bilbao,,Diligence,Out,In,1789=08=26,1789>08>26,00339044
Local,Local,Local,France,La Rochelle,18,La Rochelle,La Flotte-en-Ré,0008579N,Jeanne,Out,In,1789=11=28,1789>11>28,00341493
Local,Local,Local,Local,Tonnay-Charente,4,Tonnay-Charente,Ars-en-Ré,,Saint Jean,Out,In,1789=11=17,1789>11>17,00342056
Local,Local,Local,Local,Marennes,32,Marennes,Tonnay-Charente,0010042N,Providance,Out,In,1789=02=27,1789>02>27,00338459
France,France,France,France,Marennes,116,Marennes,Le Havre,,Vaillant,Out,In,1789=07=11,1789>07>11,00338067
France,France,France,Local,Rochefort,45,Rochefort,Brest,,Elizabeth,Out,In,1789=03=05,1789>03>05,00339983
France,France,France,France,Marennes,77,Marennes,Dieppe,,Espérance,Out,In,1789=06=08,1789>06>08,00338366
France,France,France,France,Marennes,93,Marennes,Gravelines,0010538N,Pilote des Indes,Out,In,1789=10=27,1789>10>27,00338093
Local,Local,Local,Local,Rochefort,40,Rochefort,La Rochelle,0011515N,Benjamin,Out,In,1789=06=03,1789>06>03,00340232
Local,Local,Local,Local,La Rochelle,34,La Rochelle,Rochefort,,Heureux Hazard,Out,In,1789=03=12,1789>03>12,00340556
Ports francs et petites îles,Ports francs et petites îles,Free ports and small islands,France,Marennes,107,Marennes,Dunkerque,0021485N,Duchesse de Chartre,Out,In,1789=02=13,1789>02>13,00338207
Local,Local,Local,Local,Marennes,50,Marennes,Tonnay-Charente,,Deux Sœurs,Out,In,1789=06=26,1789>06>26,00338556
Local,Local,Local,Local,Les Sables-d'Olonne,30,Les Sables-d'Olonne,La Rochelle,,Providence,Out,In,1789=03=26,1789>03>26,00333015
