product,product_fr,product_en,entity,entity_fr,entity_en,value_rel_per_direction,order
Matières brutes et transformées pour teinture,Matières brutes et transformées pour teinture,Matières brutes et transformées pour teinture,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0005999566859188439,30
Matières brutes et transformées pour teinture,Matières brutes et transformées pour teinture,Matières brutes et transformées pour teinture,France (moyenne),France (moyenne),France (mean),0.002175347957897941,30
Verrerie,Verrerie,Verrerie,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0005275119160941434,31
Verrerie,Verrerie,Verrerie,France (moyenne),France (moyenne),France (mean),0.0023222901274393814,31
Coton non transformé,Coton non transformé,Coton non transformé,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0004487676010672952,32
Coton non transformé,Coton non transformé,Coton non transformé,France (moyenne),France (moyenne),France (mean),0.027113126083750865,32
Beurre,Beurre,Beurre,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0004363184998344792,33
Beurre,Beurre,Beurre,France (moyenne),France (moyenne),France (mean),0.0035026209297259105,33
Blé et autres grains comestibles,Blé et autres grains comestibles,Blé et autres grains comestibles,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00034032543008746417,34
Blé et autres grains comestibles,Blé et autres grains comestibles,Blé et autres grains comestibles,France (moyenne),France (moyenne),France (mean),0.0037746168549751295,34
Matières premières diverses,Matières premières diverses,Matières premières diverses,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0003209768269665814,35
Matières premières diverses,Matières premières diverses,Matières premières diverses,France (moyenne),France (moyenne),France (mean),0.0012999836434557251,35
Rocou,Rocou,Rocou,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.00027852989143782326,36
Rocou,Rocou,Rocou,France (moyenne),France (moyenne),France (mean),0.00015854633794574108,36
Bois divers hors combustible,Bois divers hors combustible,Bois divers hors combustible,direction des fermes de La Rochelle,direction des fermes de La Rochelle,direction des fermes of La Rochelle,0.0002735802487789928,37
Bois divers hors combustible,Bois divers hors combustible,Bois divers hors combustible,France (moyenne),France (moyenne),France (mean),0.00038126917793066396,37
