port,port_en,nb_pointcalls,tonnage,country_group,country_group_en,category_1,category_1_en,category_2,category_2_en
Liverpool,Liverpool,4,301,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Frederikshald / Halden,Frederikshald / Halden,4,305,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Bristol,Bristol,3,204,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Southampton,Southampton,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Lisbonne,Lisbon,1,1,Europe du Sud,Southern Europe,étranger,foreign,Portugal,Portugal
Appledore,Appledore,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Alicante,Alicante,1,1,Europe du Sud,Southern Europe,étranger,foreign,Espagne,Spain
Côte d'Afrique [de l'Ouest],African coast [West],1,1,Autre,Other,étranger,foreign,multi-Etat,Multi-state
Grands Bancs de Terre-Neuve,Grand Banks of Newfoundland,2,86,Autre,Other,étranger,foreign,zone maritime,Open sea
"Espagne, undeterminé","Spain, undetermined",1,1,Europe du Sud,Southern Europe,étranger,foreign,Espagne,Spain
Zierikzee,Zierikzee,2,238,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Virginie,Virginia,2,53,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
"Terre-Neuve, île de",Newfoundland,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Riga,Riga,2,211,,Other,étranger,foreign,Empire russe,Russian Empire
Rhode Island,Rhode Island,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Pillau / Baltiïsk,Baltiysk,1,1,Europe centrale,Central Europe,étranger,foreign,Prusse,Prussia
Portsmouth,Portsmouth,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Poole,Poole,2,161,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Plymouth,Plymouth,2,161,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Penzance,Penzance,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
New York,New York,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Moss,Moss,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Marblehead,Marblehead,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Harlingen,Harlingen,4,606,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Greenock,Greenock,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Georgetown,Georgetown,2,101,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Fredrikstad ,Fredrikstad ,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Flekkefjord ,Flekkefjord ,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Farsund,Farsund,1,1,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Saltcoats,Saltcoats,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Exeter,Exeter,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Dartmouth,Dartmouth,4,491,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Dantzig ,Gdańsk,5,1191,Europe de l'Est,Eastern Europe,étranger,foreign,Pologne,Poland
Kristiansand ,Kristiansand ,5,483,Europe du Nord,Northern Europe,étranger,foreign,Danemark,Denmark
Chichester,Chichester,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Carmarthen,Carmarthen,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Berwick,Berwick,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Bideford,Bideford,2,114,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Barnstable,Barnstable,1,1,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Baltimore,Baltimore,2,244,Amérique,America,étranger,foreign,Etats-Unis d'Amérique,United States
Angleterre,England,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Dundee,Dundee,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Setúbal ,Setúbal,1,1,Europe du Sud,Southern Europe,étranger,foreign,Portugal,Portugal
Barcelone,Barcelona,1,1,Europe du Sud,Southern Europe,étranger,foreign,Espagne,Spain
Noordwijk ,Noordwijk ,1,1,Europe du Nord,Northern Europe,étranger,foreign,Provinces-Unies,United Provinces
Ilfracombe,Ilfracombe,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Elbing / Elblag,Elblag,1,1,Europe centrale,Central Europe,étranger,foreign,Prusse,Prussia
colonies anglaises [en Amérique],British [American] colonies,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
Biscaye,Biscay,1,1,Europe du Sud,Southern Europe,étranger,foreign,Espagne,Spain
Newton,Newton,1,1,Europe du Nord,Northern Europe,étranger,foreign,Grande-Bretagne,Great Britain
