destination_radar,homeport_destination_radar,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
Local,Local,4,La Flotte-en-Ré,La Rochelle,,Nonpareille,In-Out,In,1789=05=17,1789>05>17,00333452
Local,Local,33,La Flotte-en-Ré,La Rochelle,,Necessaire,In-Out,In,1789=03=09,1789>03>09,00333453
Local,Local,14,La Perrotine,La Rochelle,,Marthe,Out,In,1789=03=24,1789>03>24,00333461
Local,Local,14,La Perrotine,La Rochelle,,Marthe,Out,In,1789=05=20,1789>05>20,00333468
Local,Local,20,Marennes,La Rochelle,,Franc Masson,Out,In,1789=03=11,1789>03>11,00333475
Local,Local,40,Marennes,La Rochelle,,"Pierre, Paul",Out,In,1789=08=06,1789>08>06,00333477
Local,Local,37,Ribérou,La Rochelle,,Fille Unique,Out,In,1789=04=11,1789>04>11,00333480
Local,Local,9,Saint-Martin-de-Ré,La Rochelle,,Benjamin,Out,In,1789=05=18,1789>05>18,00333491
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Deux Amis,Out,In,1789=06=05,1789>06>05,00333492
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Quinze enfans Louis,Out,In,1789=07=28,1789>07>28,00333494
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Deux Frères,Out,In,1789=08=11,1789>08>11,00333496
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Deux Amis,Out,In,1789=11=19,1789>11>19,00333497
Local,Local,9,Saint-Martin-de-Ré,La Rochelle,,Benjamin,Out,In,1789=12=07,1789>12>07,00333500
Local,Local,4,La Flotte-en-Ré,La Rochelle,,Nonpareille,In-Out,In,1789=08=21,1789>08>21,00333555
Local,France,20,Saint-Denis d'Oléron,La Rochelle,,Reine des Anges,Out,In,1789=05=02,1789>05>02,00333571
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Rosalie,Out,In,1789=07=24,1789>07>24,00333632
Local,Local,20,Marans,Rochefort,,Saint Jacques,Out,In,1789=01=29,1789>01>29,00333655
Local,Local,36,Marans,Rochefort,,Trois Soeurs,Out,In,1789=02=18,1789>02>18,00333658
Local,Local,25,Marans,Rochefort,,Deux Amis,Out,In,1789=03=30,1789>03>30,00333661
Local,Local,18,Marans,Rochefort,,Espérance,Out,In,1789=05=19,1789>05>19,00333664
Local,Local,36,Marans,Rochefort,,Trois sœurs,Out,In,1789=09=02,1789>09>02,00333668
Local,Local,18,Marans,Rochefort,,Espérance,Out,In,1789=10=29,1789>10>29,00333670
Local,Local,40,Marans,Rochefort,,Aimable,Out,In,1789=12=07,1789>12>07,00333675
Local,Local,37,Marans,Rochefort,,Aimable Solide,Out,In,1789=12=24,1789>12>24,00333676
Local,Local,26,Marans,La Rochelle,,Magdeleine,Out,In,1789=03=02,1789>03>02,00333679
Local,Local,40,Marans,La Rochelle,,Centaure,Out,In,1789=03=20,1789>03>20,00333680
Local,Local,20,Marans,Marennes,,Saint Jacques,Out,In,1789=06=06,1789>06>06,00333712
Local,Local,20,Marans,La Flotte-en-Ré,,Saint Jean,Out,In,1789=08=11,1789>08>11,00333685
Local,Local,30,Marans,Rochefort,,Saint Michel,Out,In,1789=09=23,1789>09>23,00333686
Local,Local,30,Marans,Marennes,,Saint Michel,Out,In,1789=03=21,1789>03>21,00333710
Local,Local,20,Marans,Marennes,,Diligente,Out,In,1789=06=26,1789>06>26,00333713
France,Local,25,Marans,Bordeaux,,Deux amis,Out,In,1789=06=18,1789>06>18,00333721
France,Local,12,Marans,Bordeaux,,Saint Louis,Out,In,1789=06=23,1789>06>23,00333722
Local,Local,20,Marans,La Rochelle,,Don de Dieu,Out,In,1789=08=18,1789>08>18,00333730
Local,France,18,Moricq,Saint-Martin-de-Ré,,Providance,Out,In,1789=07=14,1789>07>14,00333731
Local,Local,40,Marennes,La Rochelle,,Pierre Paul,Out,In,1789=09=23,1789>09>23,00333745
Local,Local,32,Marennes,La Rochelle,,Marianne,Out,In,1789=10=17,1789>10>17,00333747
Local,Local,15,Marennes,La Rochelle,,Société,Out,In,1789=12=01,1789>12>01,00333748
France,Local,26,Marans,Bordeaux,,Magdeleine,Out,In,1789=10=08,1789>10>08,00333758
France,Local,20,Marans,Bordeaux,,Don de Dieu,Out,In,1789=10=08,1789>10>08,00333759
France,France,50,Marans,Bordeaux,,Elizabet,Out,In,1789=10=23,1789>10>23,00333765
France,France,18,Marans,Bordeaux,,Marie Françoise,Out,In,1789=10=31,1789>10>31,00333767
France,Ports francs et petites îles,28,Noirmoutier,Bordeaux,,Saint Joseph,Out,In,1789=11=06,1789>11>06,00333779
France,France,20,île de Bouin,Nantes,,Zéphir,Out,In,1789=08=04,1789>08>04,00333817
France,Local,22,Noirmoutier,Nantes,,Epervier,Out,In,1789=06=23,1789>06>23,00333820
France,Ports francs et petites îles,18,Noirmoutier,Nantes,,Juste,Out,In,1789=08=10,1789>08>10,00333821
France,Ports francs et petites îles,17,Noirmoutier,Nantes,,Diligent,Out,In,1789=08=24,1789>08>24,00333823
France,Ports francs et petites îles,17,Noirmoutier,Nantes,,Saint Jean Baptiste,Out,In,1789=08=24,1789>08>24,00333824
France,Ports francs et petites îles,34,Noirmoutier,Nantes,,Brochet,Out,In,1789=08=25,1789>08>25,00333825
France,Ports francs et petites îles,17,Noirmoutier,Nantes,,Diligent,Out,In,1789=10=14,1789>10>14,00333828
France,Ports francs et petites îles,28,Noirmoutier,Nantes,,Mariane,Out,In,1789=10=20,1789>10>20,00333830
France,Ports francs et petites îles,18,Noirmoutier,Nantes,,Juste,Out,In,1789=10=31,1789>10>31,00333831
France,Ports francs et petites îles,21,Noirmoutier,Nantes,,Saint Alexis,Out,In,1789=11=06,1789>11>06,00333833
France,Ports francs et petites îles,50,Noirmoutier,Nantes,,Margerith,Out,In,1789=11=13,1789>11>13,00333836
France,Ports francs et petites îles,40,Noirmoutier,Nantes,,Pelagie,Out,In,1789=12=05,1789>12>05,00333838
France,Local,22,Saint-Gilles-sur-Vie,Libourne,,Epervier,Out,In,1789=04=22,1789>04>22,00333855
France,Ports francs et petites îles,34,Noirmoutier,Bordeaux,,Brochet,Out,In,1789=01=26,1789>01>26,00333864
France,Local,40,Saint-Gilles-sur-Vie,Bordeaux,,Furet,Out,In,1789=02=13,1789>02>13,00333868
France,Local,40,Saint-Gilles-sur-Vie,Bordeaux,,Furet,Out,In,1789=06=04,1789>06>04,00333871
France,France,18,Saint-Gilles-sur-Vie,Bordeaux,,Trois Freres,Out,In,1789=07=09,1789>07>09,00333872
Local,Local,28,Marans,Saint-Martin-de-Ré,,Saint Michel,Out,In,1789=08=21,1789>08>21,00333875
France,Ports francs et petites îles,30,Noirmoutier,Bordeaux,,Malboroug,Out,In,1789=02=12,1789>02>12,00333877
France,Ports francs et petites îles,28,Noirmoutier,Bordeaux,,Marie Suzanne,Out,In,1789=11=06,1789>11>06,00333880
Local,France,25,Rochefort,La Perrotine,,Saint Sebastien,Out,In,1789=02=28,1789>02>28,00333903
Local,Local,25,Marans,Saint-Martin-de-Ré,,Diligente,Out,In,1789=11=11,1789>11>11,00334869
Local,Local,30,Marans,Rochefort,,Marie Antoine,Out,In,1789=06=20,1789>06>20,00334872
Local,Local,24,Marans,Rochefort,,Petit Saint Jean,Out,In,1789=08=12,1789>08>12,00334874
Local,Local,32,Marans,Rochefort,,Saint Michel,Out,In,1789=12=05,1789>12>05,00334877
Local,Local,40,Marans,Rochefort,,Binjamin,Out,In,1789=12=29,1789>12>29,00334881
Local,Local,20,Marans,Ribérou,,Don de Dieu,Out,In,1789=06=12,1789>06>12,00334884
Local,Local,20,Marans,Marennes,,Diligente,Out,In,1789=02=28,1789>02>28,00334919
Local,Local,30,Marans,Marennes,,Saint Michel,Out,In,1789=06=17,1789>06>17,00334928
Local,Local,20,Marans,Marennes,,Diligente,Out,In,1789=08=29,1789>08>29,00334931
Local,Local,20,Marans,Marennes,,Diligente,Out,In,1789=10=07,1789>10>07,00334932
Local,Local,24,Marans,Marennes,,Deux frères,Out,In,1789=10=10,1789>10>10,00334933
France,Ports francs et petites îles,45,Marans,Bordeaux,,Saint Antoine,Out,In,1789=02=04,1789>02>04,00334973
France,Ports francs et petites îles,40,Marans,Bordeaux,,Saint Germain,Out,In,1789=02=05,1789>02>05,00334974
France,France,38,Marans,Bordeaux,,Saint Jean,Out,In,1789=02=11,1789>02>11,00334979
France,Europe,30,Marans,Bordeaux,,Saint Pierre,Out,In,1789=02=12,1789>02>12,00334980
France,France,74,Marans,Bordeaux,,Favorite,Out,In,1789=02=14,1789>02>14,00334981
France,Local,24,Marans,Bordeaux,,Saint Jacques,Out,In,1789=02=14,1789>02>14,00334982
France,France,18,Marans,Bordeaux,,Marie Françoise,Out,In,1789=02=25,1789>02>25,00334985
France,Europe,60,Marans,Bordeaux,,Saint Louis,Out,In,1789=02=28,1789>02>28,00334986
France,Ports francs et petites îles,50,Marans,Bordeaux,,Saint Jacques,Out,In,1789=03=11,1789>03>11,00334991
France,France,29,Marans,Bordeaux,,Sainte Cornélie,Out,In,1789=03=17,1789>03>17,00334994
France,France,28,Marans,Bordeaux,,Marie Louise,Out,In,1789=03=20,1789>03>20,00334995
France,Local,20,Marans,Bordeaux,,Saint Jacques,Out,In,1789=04=25,1789>04>25,00335003
France,Local,26,Marans,Bordeaux,,Saint Louis,Out,In,1789=03=24,1789>03>24,00334997
France,France,16,Marans,Bordeaux,,Saint Jean,Out,In,1789=03=31,1789>03>31,00335001
France,Local,26,Marans,Bordeaux,,Saint Louis,Out,In,1789=05=08,1789>05>08,00335005
France,France,130,Rochefort,Bordeaux,,Marie Sainte Anne,Out,In,1789=11=14,1789>11>14,00335011
Local,Local,3,Marennes,La Rochelle,,Deux Sœurs,Out,In,1789=12=04,1789>12>04,00335034
Local,Local,20,Les Sables-d'Olonne,La Rochelle,,Marie Anne,Out,In,1789=02=27,1789>02>27,00335017
France,Local,24,Saint-Gilles-sur-Vie,Bordeaux,,Saint Antoine,Out,In,1789=09=09,1789>09>09,00336072
Local,Local,15,Ars-en-Ré,La Rochelle,,Rosalie,Out,In,1789=10=20,1789>10>20,00341170
Local,Local,5,Marans,Saint-Michel-en-l'Herm,,Saint Esprit,Out,In,1789=10=03,1789>10>03,00336090
Local,Local,5,Marans,Saint-Michel-en-l'Herm,,Grand Hyvert,Out,In,1789=11=16,1789>11>16,00336095
Local,Local,30,Les Sables-d'Olonne,Saint-Gilles-sur-Vie,,Heureux hazard,Out,In,1789=10=27,1789>10>27,00336097
Local,Local,36,Marennes,Rochefort,,Don de Dieu,Out,In,1789=10=20,1789>10>20,00336109
Local,Local,40,Saint-Martin-de-Ré,Rochefort,,Marianne,Out,In,1789=10=01,1789>10>01,00336113
Local,Grande-Bretagne,70,La Rochelle,Rochefort,,Hope,Out,In,1789=04=06,1789>04>06,00340561
Local,Local,25,Saint-Martin-de-Ré,Moricq,,Elizabeth,Out,In,1789=03=11,1789>03>11,00336184
Local,Local,41,Saint-Martin-de-Ré,Moricq,,Concord,Out,In,1789=06=17,1789>06>17,00336187
Local,Local,9,Saint-Martin-de-Ré,Moricq,,Sainte Barbe,Out,In,1789=07=08,1789>07>08,00336193
Local,Local,9,Saint-Martin-de-Ré,Moricq,,Benjamin,Out,In,1789=07=08,1789>07>08,00336196
Local,Local,40,La Rochelle,Moricq,,Guillaume,Out,In,1789=08=31,1789>08>31,00340943
Local,Local,25,Saint-Martin-de-Ré,Moricq,,Elizabethe,Out,In,1789=07=23,1789>07>23,00336198
Local,Local,12,Saint-Martin-de-Ré,Moricq,,Elizabethe,Out,In,1789=07=23,1789>07>23,00336199
Local,Local,30,Saint-Martin-de-Ré,Moricq,,Cinq frères,Out,In,1789=07=23,1789>07>23,00336201
Local,Local,25,Saint-Martin-de-Ré,Moricq,,Elizabethe,Out,In,1789=08=10,1789>08>10,00336204
Local,Local,20,La Rochelle,Moricq,,Tonant,Out,In,1789=09=09,1789>09>09,00340944
Local,Local,30,Saint-Martin-de-Ré,Moricq,,Providence,Out,In,1789=10=01,1789>10>01,00336206
Local,Local,25,Saint-Martin-de-Ré,Moricq,,Elizabeth,Out,In,1789=11=10,1789>11>10,00336211
Local,Local,30,Saint-Martin-de-Ré,Moricq,,Providence,Out,In,1789=11=16,1789>11>16,00336212
Local,Local,30,Marans,Moricq,,Deux frères,Out,In,1789=10=21,1789>10>21,00336214
Local,Local,20,La Rochelle,Moricq,,Catherine Francoise,Out,In,1789=09=16,1789>09>16,00340945
Local,Local,36,La Rochelle,Moricq,,Bonne Espérance,Out,In,1789=09=21,1789>09>21,00340946
Local,Local,25,La Rochelle,Moricq,,Marianne,Out,In,1789=09=29,1789>09>29,00340948
Local,France,28,Saint-Martin-de-Ré,Marans,,Deux frères,Out,In,1789=03=07,1789>03>07,00336245
Local,Local,2,Marennes,La Rochelle,,Chevalière,Out,In,1789=01=16,1789>01>16,00336275
Local,Local,20,Ribérou,La Rochelle,,Deux Amis,Out,In,1789=01=17,1789>01>17,00336276
Local,Local,5,Saint-Denis d'Oléron,La Rochelle,,Bonne mère,Out,In,1789=03=04,1789>03>04,00336282
Local,Local,12,Saint-Denis d'Oléron,La Rochelle,,Marguerite,Out,In,1789=09=28,1789>09>28,00336284
Local,Local,25,Saint-Martin-de-Ré,La Rochelle,,Elizabethe,Out,In,1789=01=26,1789>01>26,00336287
Local,France,50,Saint-Martin-de-Ré,La Rochelle,,Marie,Out,In,1789=03=14,1789>03>14,00336290
Local,Local,17,Saint-Martin-de-Ré,La Rochelle,,Saint Louis,Out,In,1789=05=11,1789>05>11,00336292
Local,Local,20,La Rochelle,Saint-Martin-de-Ré,,Deux Amis,Out,In,1789=06=17,1789>06>17,00340428
Local,Local,9,Saint-Martin-de-Ré,La Rochelle,,Sainte Barbe,Out,In,1789=08=10,1789>08>10,00336296
Local,Local,9,Saint-Martin-de-Ré,La Rochelle,,Benjamin,Out,In,1789=11=12,1789>11>12,00336301
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Deux Amis,Out,In,1789=11=25,1789>11>25,00336302
Local,Local,3,La Rochelle,Saint-Martin-de-Ré,,Chevaliere,Out,In,1789=07=16,1789>07>16,00340429
Local,Europe,40,Rochefort,La Perrotine,,Notre Dame du secours,Out,In,1789=06=22,1789>06>22,00336305
France,France,40,Marennes,Brest,,Saint Jullien,Out,In,1789=07=25,1789>07>25,00336623
France,France,45,Les Sables-d'Olonne,Bordeaux,,Paix,Out,In,1789=09=21,1789>09>21,00336633
France,France,48,Saint-Martin-de-Ré,Bordeaux,,Marie Janne,Out,In,1789=10=15,1789>10>15,00336637
France,Europe,230,Saint-Martin-de-Ré,Bordeaux,,Trois ferre,Out,In,1789=04=15,1789>04>15,00336634
Local,Local,20,La Perrotine,Marans,,Saint Nicolas,Out,In,1789=10=28,1789>10>28,00336657
Local,Local,12,Marennes,Marans,,Aimable Suzanne,Out,In,1789=01=30,1789>01>30,00336658
Local,Local,30,Saint-Martin-de-Ré,Marans,,Deux Amis,Out,In,1789=04=03,1789>04>03,00336680
Local,Local,15,Saint-Martin-de-Ré,Marans,,Deux Amis,Out,In,1789=07=25,1789>07>25,00336688
Local,Local,30,Saint-Martin-de-Ré,Marans,,Deux Amis,Out,In,1789=08=21,1789>08>21,00336689
Local,Local,20,Saint-Martin-de-Ré,Marans,,Saint Pierre,Out,In,1789=10=27,1789>10>27,00336697
Local,Local,2,Les Sables-d'Olonne,La Rochelle,,Angoumoiziénne,Out,In,1789=12=06,1789>12>06,00336888
France,Local,100,Les Sables-d'Olonne,Nantes,,Patriote,Out,In,1789=05=16,1789>05>16,00336713
Local,Local,4,La Flotte-en-Ré,La Rochelle,,Ballon,In-Out,In,1789=12=16,1789>12>16,00336788
Local,Local,22,La Flotte-en-Ré,La Rochelle,,Perle,In-Out,In,1789=02=14,1789>02>14,00336796
Local,France,40,Saint-Martin-de-Ré,La Rochelle,,Rosalie,Out,In,1789=08=03,1789>08>03,00336803
Local,Local,9,Saint-Martin-de-Ré,La Rochelle,,Sainte Barbe,Out,In,1789=07=01,1789>07>01,00336812
France,Local,30,Saint-Martin-de-Ré,Bordeaux,,Cinq frères,Out,In,1789=04=12,1789>04>12,00336814
Local,Local,2,Saint-Gilles-sur-Vie,Les Sables-d'Olonne,,Eléonnore,Out,In,1789=10=27,1789>10>27,00336822
Local,Local,27,Marans,Rochefort,,Aimable Solide,Out,In,1789=02=26,1789>02>26,00336828
Local,Local,20,Marans,La Flotte-en-Ré,,Saint Jean,Out,In,1789=07=08,1789>07>08,00336832
France,Local,42,Les Sables-d'Olonne,Nantes,,Jeune Amandé,Out,In,1789=01=30,1789>01>30,00336857
Local,Local,42,Les Sables-d'Olonne,La Rochelle,,Jeune Amandé,Out,In,1789=07=29,1789>07>29,00336860
France,Local,34,Les Sables-d'Olonne,Bordeaux,,Jazon,Out,In,1789=07=21,1789>07>21,00336864
France,Local,26,Les Sables-d'Olonne,Nantes,,Benjamin,Out,In,1789=07=14,1789>07>14,00336868
France,Local,32,Les Sables-d'Olonne,Nantes,,Confiance,Out,In,1789=07=14,1789>07>14,00336869
France,Local,8,Marennes,Bordeaux,,Marie Therèze,Out,In,1789=05=05,1789>05>05,00336880
Local,Local,1,La Tranche-sur-Mer,La Rochelle,,Marie Jeanne,Out,In,1789=09=23,1789>09>23,00336890
Local,Local,1,La Tranche-sur-Mer,La Rochelle,,Marie,Out,In,1789=02=13,1789>02>13,00336900
Local,Local,6,Le Château-d'Oléron,Rochefort,,Bel Judie,Out,In,1789=01=16,1789>01>16,00336902
Local,Local,20,Saint-Martin-de-Ré,La Rochelle,,Saint Pierre,Out,In,1789=04=28,1789>04>28,00336917
Colonies,Local,200,La Rochelle,Saint-Pierre-et-Miquelon,,Deux Amis,Out,In,1789=04=22,1789>04>22,00336975
Local,Local,32,Saint-Martin-de-Ré,La Rochelle,,Marie Elizabethe,Out,In,1789=07=20,1789>07>20,00337075
Local,Local,32,Saint-Martin-de-Ré,La Rochelle,,Saint François,Out,In,1789=06=13,1789>06>13,00337084
Local,Local,35,Saint-Martin-de-Ré,Rochefort,,Saint Pierre,Out,In,1789=03=23,1789>03>23,00337091
Local,Local,15,Saint-Martin-de-Ré,Rochefort,,Benjamin,Out,In,1789=08=10,1789>08>10,00337093
Local,Local,16,Saint-Martin-de-Ré,La Rochelle,,Petit fils,Out,In,1789=01=21,1789>01>21,00337116
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Deux Amis,Out,In,1789=01=31,1789>01>31,00337117
Local,Local,16,Saint-Martin-de-Ré,La Rochelle,,Petit fils,Out,In,1789=02=01,1789>02>01,00337118
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Deux Amis,Out,In,1789=02=20,1789>02>20,00337121
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Deux Amis,Out,In,1789=04=18,1789>04>18,00337123
Local,Local,17,Saint-Martin-de-Ré,La Rochelle,,Saint Louis,Out,In,1789=08=08,1789>08>08,00337135
Local,Local,17,Saint-Martin-de-Ré,La Rochelle,,Saint Louis,Out,In,1789=09=02,1789>09>02,00337138
Local,Local,9,Saint-Martin-de-Ré,La Rochelle,,Benjamin,Out,In,1789=10=25,1789>10>25,00337139
France,Local,36,Saint-Martin-de-Ré,Bordeaux,,Saint André,Out,In,1789=05=22,1789>05>22,00337149
Local,Local,30,Saint-Martin-de-Ré,Marans,,Deux Marie,Out,In,1789=08=06,1789>08>06,00337153
Local,Local,22,La Flotte-en-Ré,La Rochelle,,Perle,In-Out,In,1789=03=23,1789>03>23,00337162
Local,Local,33,La Flotte-en-Ré,La Rochelle,,Necessaire,In-Out,In,1789=05=20,1789>05>20,00337166
Local,Local,33,La Flotte-en-Ré,La Rochelle,,Necessaire,In-Out,In,1789=05=28,1789>05>28,00337168
Local,Local,33,La Flotte-en-Ré,La Rochelle,,Necessaire,In-Out,In,1789=06=09,1789>06>09,00337169
Local,Local,15,Saint-Martin-de-Ré,La Rochelle,,Deux Amis,Out,In,1789=01=03,1789>01>03,00337171
Local,Local,22,La Flotte-en-Ré,La Rochelle,,Perle,In-Out,In,1789=06=03,1789>06>03,00337176
France,Europe,38,Rochefort,Nantes,,Gardent,Out,In,1789=09=24,1789>09>24,00337184
France,France,9,Marennes,Bordeaux,,Sainte Barbe,Out,In,1789=04=27,1789>04>27,00337218
France,France,15,Les Sables-d'Olonne,Bordeaux,,Marie Ange,Out,In,1789=06=20,1789>06>20,00337231
France,France,112,Marennes,Le Tréport,,Bons Amis,Out,In,1789=04=23,1789>04>23,00337253
Local,Local,32,La Rochelle,Soubise,,Deux Soeures,Out,In,1789=08=03,1789>08>03,00340363
France,France,75,Marennes,Saint-Valéry-en-Caux,,Saint Mathieu,Out,In,1789=04=28,1789>04>28,00337271
France,France,54,Marennes,Saint-Valéry-en-Caux,,Saint Nicolas,Out,In,1789=05=09,1789>05>09,00337274
France,France,80,Marennes,Saint-Valéry-en-Caux,,Saint Mathieu,Out,In,1789=05=09,1789>05>09,00337275
France,France,64,Marennes,Saint-Valéry-en-Caux,,Saint Francois,Out,In,1789=05=11,1789>05>11,00337276
France,France,73,Marennes,Saint-Valery-sur-Somme,,Sainte Anne,Out,In,1789=05=06,1789>05>06,00337288
France,France,76,Marennes,Saint-Valery-sur-Somme,,Lucille,Out,In,1789=05=18,1789>05>18,00337295
France,France,58,Marennes,Saint-Valery-sur-Somme,,Rosiére,Out,In,1789=05=20,1789>05>20,00337297
France,France,40,La Rochelle,Rouen,,Sainte Anne,Out,In,1789=10=26,1789>10>26,00340522
France,Local,87,Marennes,Saint-Valery-sur-Somme,,Bristol,Out,In,1789=05=20,1789>05>20,00337296
France,France,47,Marennes,Saint-Valery-sur-Somme,,Marie Vincente,Out,In,1789=05=26,1789>05>26,00337303
France,France,56,Marennes,Saint-Valery-sur-Somme,,Marie Joseph,Out,In,1789=06=08,1789>06>08,00337312
Local,Local,36,La Rochelle,Rochefort,,Bonne Espérance,Out,In,1789=11=23,1789>11>23,00340611
France,France,68,Marennes,Saint-Valery-sur-Somme,,Seraphin,Out,In,1789=06=02,1789>06>02,00337310
Local,Local,40,La Rochelle,Moricq,,Guillaume,Out,In,1789=03=16,1789>03>16,00340964
France,France,72,Marennes,Saint-Valery-sur-Somme,,Revanche,Out,In,1789=06=12,1789>06>12,00337313
Local,Local,32,Marennes,Rochefort,,Jeanne,Out,In,1789=10=22,1789>10>22,00337361
Local,Local,48,Marennes,Rochefort,,Saint Pierre,Out,In,1789=10=30,1789>10>30,00337363
Local,Local,32,Marennes,Rochefort,,Elizabeth,Out,In,1789=10=26,1789>10>26,00337362
France,Ports francs et petites îles,18,Noirmoutier,Nantes,,Juste,Out,In,1789=03=05,1789>03>05,00337529
France,France,16,île de Bouin,Nantes,,Marie Catherine,Out,In,1789=04=20,1789>04>20,00337473
France,France,20,île de Bouin,Nantes,,Zéphir,Out,In,1789=04=29,1789>04>29,00337475
France,France,28,île de Bouin,Nantes,,Saint Esprit,Out,In,1789=05=01,1789>05>01,00337476
France,Local,35,île de Bouin,Nantes,,Bien Aimé,Out,In,1789=05=01,1789>05>01,00337478
France,France,20,île de Bouin,Nantes,,Zéphir,Out,In,1789=05=01,1789>05>01,00337479
France,France,28,île de Bouin,Nantes,,Jeune Rose,Out,In,1789=05=01,1789>05>01,00337480
France,France,28,île de Bouin,Nantes,,Zéphir,Out,In,1789=05=01,1789>05>01,00337481
France,France,16,île de Bouin,Nantes,,Marie Catherine,Out,In,1789=06=10,1789>06>10,00337497
France,France,28,île de Bouin,Nantes,,Sainte Anne,Out,In,1789=08=05,1789>08>05,00337500
France,France,28,île de Bouin,Nantes,,Sainte Anne,Out,In,1789=09=07,1789>09>07,00337507
France,France,18,île de Bouin,Nantes,,Saint Guillaume,Out,In,1789=09=21,1789>09>21,00337511
France,France,10,île de Bouin,Nantes,,Lévrier,Out,In,1789=09=21,1789>09>21,00337512
France,Local,26,île de Bouin,Nantes,,Saint Jean Baptiste,Out,In,1789=09=21,1789>09>21,00337514
France,France,22,île de Bouin,Nantes,,Génie,Out,In,1789=10=01,1789>10>01,00337517
France,Local,15,île de Bouin,Nantes,,Pierre Alexis,Out,In,1789=10=03,1789>10>03,00337519
France,Europe,37,île de Bouin,Nantes,,Pierre Marie,Out,In,1789=10=03,1789>10>03,00337521
France,France,15,île de Bouin,Nantes,,Jeanne Marie,Out,In,1789=10=03,1789>10>03,00337522
France,Ports francs et petites îles,28,Noirmoutier,Nantes,,Marie Susanne,Out,In,1789=02=13,1789>02>13,00337528
France,Ports francs et petites îles,17,Noirmoutier,Nantes,,Saint Jean Baptiste,Out,In,1789=03=29,1789>03>29,00337535
France,Ports francs et petites îles,20,Noirmoutier,Nantes,,Mignonne,Out,In,1789=03=29,1789>03>29,00337536
France,Ports francs et petites îles,28,Noirmoutier,Nantes,,Saint Barbe,Out,In,1789=04=08,1789>04>08,00337537
France,France,33,Noirmoutier,Nantes,,Flury,Out,In,1789=04=08,1789>04>08,00337542
France,France,28,Noirmoutier,Nantes,,Sainte Anne,Out,In,1789=04=10,1789>04>10,00337545
France,Ports francs et petites îles,17,Noirmoutier,Nantes,,Saint Jean Baptiste,Out,In,1789=04=11,1789>04>11,00337548
France,Ports francs et petites îles,40,Noirmoutier,Nantes,,Pelagie,Out,In,1789=04=11,1789>04>11,00337550
France,Ports francs et petites îles,41,Noirmoutier,Nantes,,Jeune Marie,Out,In,1789=04=11,1789>04>11,00337551
France,Ports francs et petites îles,21,Noirmoutier,Nantes,,Jean Alexis,Out,In,1789=04=11,1789>04>11,00337552
France,Ports francs et petites îles,28,Noirmoutier,Nantes,,Saint Joseph,Out,In,1789=04=11,1789>04>11,00337554
France,Ports francs et petites îles,28,Noirmoutier,Nantes,,Marie Suzanne,Out,In,1789=03=13,1789>03>13,00339474
France,Ports francs et petites îles,10,Noirmoutier,Nantes,,Suzanne,Out,In,1789=04=11,1789>04>11,00337556
France,Ports francs et petites îles,11,Noirmoutier,Nantes,,Aimable Amour,Out,In,1789=04=24,1789>04>24,00337559
France,Ports francs et petites îles,36,Noirmoutier,Nantes,,Saint Joseph,Out,In,1789=04=27,1789>04>27,00337565
France,Ports francs et petites îles,20,Noirmoutier,Nantes,,Marie Anne,Out,In,1789=05=07,1789>05>07,00337575
France,Ports francs et petites îles,24,Noirmoutier,Nantes,,Sainte Helenne,Out,In,1789=05=08,1789>05>08,00337576
France,Ports francs et petites îles,28,Noirmoutier,Nantes,,Marie Anne,Out,In,1789=05=08,1789>05>08,00337579
France,France,28,Noirmoutier,Nantes,,Janne Rosse,Out,In,1789=05=07,1789>05>07,00337572
France,Ports francs et petites îles,17,Noirmoutier,Nantes,,Saint Jean Baptiste,Out,In,1789=05=09,1789>05>09,00337585
France,Ports francs et petites îles,15,Noirmoutier,Nantes,,Diligent,Out,In,1789=05=13,1789>05>13,00337594
France,Ports francs et petites îles,30,Noirmoutier,Nantes,,Malbrough,Out,In,1789=05=15,1789>05>15,00337596
France,Ports francs et petites îles,28,Noirmoutier,Nantes,,Saint Joseph,Out,In,1789=05=26,1789>05>26,00337601
France,Ports francs et petites îles,40,Noirmoutier,Nantes,,Marie Joseph,Out,In,1789=05=26,1789>05>26,00337602
France,Ports francs et petites îles,28,Noirmoutier,Nantes,,Marie Susanne,Out,In,1789=05=27,1789>05>27,00337605
France,Ports francs et petites îles,15,Noirmoutier,Nantes,,Diligent,Out,In,1789=05=28,1789>05>28,00337606
France,Ports francs et petites îles,34,Noirmoutier,Nantes,,Saint Jean,Out,In,1789=06=04,1789>06>04,00337607
France,Ports francs et petites îles,15,Noirmoutier,Nantes,,Diligent,Out,In,1789=06=10,1789>06>10,00337611
