destination_radar,homeport_destination_radar,tonnage,departure_fr,destination_fr,ship_id,ship_name,departure_action,destination_action,departure_out_date,destination_in_date,source_doc_id
France,Ports francs et petites îles,,Noirmoutier,Étaples ,,Saint Joseph,Out,In,1789=08=22,1789>08>22,00338187
Local,Local,32,Marennes,Tonnay-Charente,,Elisabeth,Out,In,1789=04=04,1789>04>04,00338494
Local,Local,32,Marennes,Tonnay-Charente,,Charlotte,Out,In,1789=06=16,1789>06>16,00338551
Local,Local,32,Marennes,Tonnay-Charente,,Rozalie,Out,In,1789=09=22,1789>09>22,00338636
Local,Local,32,Marennes,Tonnay-Charente,,Grace de Dieu,Out,In,1789=12=02,1789>12>02,00338706
France,France,43,Marennes,Bordeaux,,Sainte Anne,Out,In,1789=12=01,1789>12>01,00338984
France,France,37,Marennes,Bordeaux,,Marie Francoise,Out,In,1789=12=18,1789>12>18,00338992
Europe,France,156,Marennes,Bilbao,,Diligence,Out,In,1789=08=26,1789>08>26,00339044
Ports francs et petites îles,France,61,Marennes,Bayonne,,Jean Bar,Out,In,1789=07=04,1789>07>04,00339078
Local,Local,15,Ars-en-Ré,Marans,,Elizabeth,Out,In,1789=03=08,1789>03>08,00339177
Europe,France,50,Marennes,pas mentionné,,Saint Laurent,Out,In,1789=06=08,1789>06>08,00339293
France,Ports francs et petites îles,15,Noirmoutier,Nantes,,Espérance,Out,In,1789=12=16,1789>12>16,00339476
France,France,18,Mortagne,Quiberon,,Saint Louis,Out,In,1789=09=04,1789>09>04,00339736
Local,Local,3,Marennes,La Rochelle,,Chevaliére,Out,In,1789=11=23,1789>11>23,00339763
Local,Local,33,Saint-Martin-de-Ré,Tonnay-Charente,,Grace de Dieu,Out,In,1789=04=01,1789>04>01,00339776
Ports francs et petites îles,France,27,La Perrotine,Lorient,,Marie Anges,Out,In,1789=02=11,1789>02>11,00339877
Local,Local,12,Ribérou,île d'Yeu,,Union,Out,In,1789=06=30,1789>06>30,00339929
France,France,18,Marennes,Belle-Île-en-Mer,,Marie Claire,Out,In,1789=08=24,1789>08>24,00339997
Local,Local,105,Rochefort,Saint-Savinien,,Neptune,Out,In,1789=08=12,1789>08>12,00340110
Local,Local,30,Rochefort,Moricq,,Marie Antoine,Out,In,1789=02=21,1789>02>21,00340192
Local,Local,32,Rochefort,Tonnay-Charente,,Providence,Out,In,1789=08=11,1789>08>11,00340286
Europe,Europe,100,La Rochelle,Stettin,,Hopend,Out,In,1789=10=28,1789>10>28,00340360
Local,Local,20,Tonnay-Charente,Fouras,,Saint Antoine,Out,In,1789=04=01,1789>04>01,00341489
France,France,6,La Rochelle,Le Croisic,,Saint Pierre,Out,In,1789=12=19,1789>12>19,00341621
France,Local,40,La Barre-de-Monts,Bordeaux,,Furet,In-Out,In,,1789>10>05,00342049
France,France,7,La Rochelle,Arzon,,Sainte Anne,Out,In,1789=12=14,1789>12>14,00342054
Europe,Local,80,Tonnay-Charente,Ostende,0000169N,Marie Thereze,Out,In,1789=07=09,1789>07>09,00340750
France,France,70,Tonnay-Charente,Saint-Valery (indeterminé),0001131N,Saint Jean Baptiste,Out,In,1789=03=12,1789>03>12,00340385
France,France,40,île de Bouin,Côtes de Bretagne,0001810N,Marie Joseph,Out,In,1789=05=01,1789>05>01,00338382
Local,France,70,Tonnay-Charente,La Rochelle,0002637N,Eugene,Out,In,1789=07=22,1789>07>22,00341294
France,France,70,Tonnay-Charente,Rouen,0002637N,Eugene,Out,In,1789=02=28,1789>02>28,00333558
Europe,Local,70,La Rochelle,pas identifié,0002637N,Eugene,Out,In,1789=08=01,1789>08>01,00340757
Local,Ports francs et petites îles,70,Seudre,Marennes,0002655N,Saint René,Out,In,1789<09<18,1789>09>18,00341004
France,Ports francs et petites îles,32,Noirmoutier,Rouen,0002657N,Saint André,Out,In,1789=05=09,1789>05>09,00339472
Europe,Europe,189,Marennes,Königsberg / Kaliningrad,0003065N,Griffon,Out,In,1789=08=14,1789>08>14,00337863
France,Local,110,Tonnay-Charente,Rouen,0003147N,Désiré,Out,In,1789=03=03,1789>03>03,00340503
France,France,58,Marennes,Boulogne-sur-Mer,0003553N,Aimable Denise,Out,In,1789=05=16,1789>05>16,00333528
Local,Local,48,Marennes,Tonnay-Charente,0003681N,Marie Théréze,Out,In,1789=12=07,1789>12>07,00338712
Local,Local,45,Tonnay-Charente,La Rochelle,0003681N,Marie Thereze,Out,In,1789=03=04,1789>03>04,00341207
Local,Local,30,Tonnay-Charente,La Rochelle,0003681N,Marie Thereze,Out,In,1789=10=06,1789>10>06,00341350
Local,Local,30,Tonnay-Charente,La Rochelle,0003681N,Marie Thereze,Out,In,1789=11=06,1789>11>06,00341375
Local,Local,45,La Rochelle,Tonnay-Charente,0003681N,Marie Therèze,Out,In,1789=02=05,1789>02>05,00341665
Local,Local,45,La Rochelle,Tonnay-Charente,0003681N,Marie Thereze,Out,In,1789=03=21,1789>03>21,00341692
Local,Local,30,La Rochelle,Tonnay-Charente,0003681N,Marie Thérese,Out,In,1789=10=16,1789>10>16,00341822
Local,Local,36,Rochefort,Saint-André-de-Cubzac,0003788N,Nouvelle Esperance,Out,In,1789=10=09,1789>10>09,00333024
Local,Local,36,Tonnay-Charente,La Rochelle,0003788N,Nouvelle Espérance,Out,In,1789=01=21,1789>01>21,00341178
Local,Local,36,Tonnay-Charente,La Rochelle,0003788N,Nouvelle Espérance,Out,In,1789=03=11,1789>03>11,00341212
Local,Local,36,La Rochelle,Tonnay-Charente,0003788N,Nouvelle Esperance,Out,In,1789=03=19,1789>03>19,00341689
Local,Europe,16,La Rochelle,île d'Oléron,0003823N,Marguérite,Out,In,1789=05=12,1789>05>12,00340815
