value,product_weight_kg,flow_type,customs_office,product,product_fr,product_en,partner,partner_fr,partner_en
173859.0,0,export,La Rochelle,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Afrique,Afrique,Africa
12259.0,0,export,La Rochelle,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Colonies,Colonies,Colonies
89706.0,115744.72167,import,La Rochelle,autres produits,autres produits,other products,Colonies,Colonies,Colonies
5950.0,0,import,Marans,autres produits,autres produits,other products,Grande Bretagne,Grande Bretagne,Great Britain
7007451.0,3856420.042,import,La Rochelle,produits coloniaux,produits coloniaux,colonial products,Colonies,Colonies,Colonies
358542.0,226470.110992,import,Rochefort,produits coloniaux,produits coloniaux,colonial products,Colonies,Colonies,Colonies
612.60002042,499.77951,import,Marans,autres produits,autres produits,other products,Europe,Europe,Europe
917706.75066427,1160050.4007900003,import,Rochefort,autres produits,autres produits,other products,Europe,Europe,Europe
225559.52152622002,2157406.6136000003,import,Rochefort,autres produits,autres produits,other products,Grande Bretagne,Grande Bretagne,Great Britain
264.0,0,import,Rochefort,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Europe,Europe,Europe
180443.45389894,151431.23049999998,import,Saint-Martin-de-Ré,autres produits,autres produits,other products,Europe,Europe,Europe
53146.549468979996,238611.6646,import,Saint-Martin-de-Ré,autres produits,autres produits,other products,Grande Bretagne,Grande Bretagne,Great Britain
2576.0,817.46499,import,Rochefort,autres produits,autres produits,other products,Colonies,Colonies,Colonies
18150.000132,28167.298297,import,Saint-Martin-de-Ré,autres produits,autres produits,other products,Reste du monde (USA),Reste du monde (USA),Rest of the world (USA)
328.0,0,import,La Rochelle,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Colonies,Colonies,Colonies
7170.0,0,import,Rochefort,eau-de-vie et vins divers,eau-de-vie et vins divers,brandies and diverse wines,Colonies,Colonies,Colonies
30120.7005895,449791.75999000005,import,Tonnay-Charente,autres produits,autres produits,other products,Grande Bretagne,Grande Bretagne,Great Britain
167791.52533523203,971647.2323109999,import,Tonnay-Charente,autres produits,autres produits,other products,Europe,Europe,Europe
17466.40043666,0,import,Tonnay-Charente,autres produits,autres produits,other products,Reste du monde (USA),Reste du monde (USA),Rest of the world (USA)
47556.0,3879.7771,import,La Rochelle,autres produits,autres produits,other products,Afrique,Afrique,Africa
7480.0000935,0,import,Marennes,autres produits,autres produits,other products,Europe,Europe,Europe
8500.0,166430.0,import,Marennes,autres produits,autres produits,other products,Grande Bretagne,Grande Bretagne,Great Britain
957394.6222719902,1787295.676999,import,La Rochelle,autres produits,autres produits,other products,Europe,Europe,Europe
12315.50019025,11868.416709000001,import,La Rochelle,autres produits,autres produits,other products,Reste du monde (USA),Reste du monde (USA),Rest of the world (USA)
482923.81084159005,1697213.042689,import,La Rochelle,autres produits,autres produits,other products,Grande Bretagne,Grande Bretagne,Great Britain
