"pointcall","ferme_bureau","tonnage","pointcall","pointcall_province","substate_1789_fr","state_1789_fr","partner_balance_supp_1789","destination_radar"
Rochefort,Rochefort,12,Auray,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,30,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,50,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,11,Nantes,Bretagne,,France,France,France
Marennes,Marennes,49,Libourne,Guyenne,,France,France,France
Marennes,Marennes,37,Libourne,Guyenne,,France,France,France
Marennes,Marennes,31,Libourne,Guyenne,,France,France,France
Saint Martin de Ré,Saint-Martin île de Ré,27,Côte de Bretagne,Bretagne,,France,France,France
Marennes,Marennes,148,Honfleur,Normandie,,France,France,France
Marennes,Marennes,70,Honfleur,Normandie,,France,France,France
Marennes,Marennes,58,Gravelines,Flandre,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,20,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,133,Dieppe,Normandie,,France,France,France
Sables d' Olonne,Sables d'Olonne,10,Côte de Bretagne,Bretagne,,France,France,France
La Flotte en Ré,Saint-Martin île de Ré,12,Auray,Bretagne,,France,France,France
Aligre de Marans,Alligre,27,Bordeaux,Guyenne,,France,France,France
Sables d' Olonne,Sables d'Olonne,15,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,28,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,61,Le Tréport,Normandie,,France,France,France
Marennes,Marennes,121,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,20,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,21,Nantes,Bretagne,,France,France,France
Marennes,Marennes,29,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,27,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,27,Bordeaux,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,17,Nantes,Bretagne,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,27,Bordeaux,Guyenne,,France,France,France
Saint Martin de Ré,Saint-Martin île de Ré,12,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,68,Caen,Normandie,,France,France,France
Marennes,Marennes,76,Saint Valéry sur Somme,Picardie,,France,France,France
Ars en Ré,Saint-Martin île de Ré,30,Barfleur,Normandie,,France,France,France
La Perrotine,Marennes,24,Landerneau,Bretagne,,France,France,France
Charente,Charente,70,Rouen,Normandie,,France,France,France
Marennes,Marennes,63,Honfleur,Normandie,,France,France,France
Noirmoutier,Sables d'Olonne,25,Bordeaux,Guyenne,,France,France,France
Aligre de Marans,Alligre,28,Méan,Bretagne,,France,France,France
Marennes,Marennes,33,Nantes,Bretagne,,France,France,France
Rochefort,Rochefort,70,Brest,Bretagne,,France,France,France
Marennes,Marennes,75,Le Tréport,Normandie,,France,France,France
La Rochelle,La Rochelle,80,Rouen,Normandie,,France,France,France
Marennes,Marennes,56,Le Tréport,Normandie,,France,France,France
Rochefort,Rochefort,30,Quimper,Bretagne,,France,France,France
Marennes,Marennes,67,Le Tréport,Normandie,,France,France,France
Rochefort,Rochefort,90,Nantes,Bretagne,,France,France,France
Marennes,Marennes,36,Bordeaux,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,15,Nantes,Bretagne,,France,France,France
Rochefort,Rochefort,55,Cherbourg,Normandie,,France,France,France
Marennes,Marennes,105,Honfleur,Normandie,,France,France,France
Charente,Charente,29,Le Croisic,Bretagne,,France,France,France
La Rochelle,La Rochelle,12,Le Croisic,Bretagne,,France,France,France
Aligre de Marans,Alligre,40,Bordeaux,Guyenne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,50,Granville,Normandie,,France,France,France
La Rochelle,La Rochelle,17,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,16,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,140,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,16,Bordeaux,Guyenne,,France,France,France
Charente,Charente,50,Nantes,Bretagne,,France,France,France
Saint Martin de Ré,Saint-Martin île de Ré,75,Socoa [Ciboure],Guyenne,,France,France,France
La Rochelle,La Rochelle,62,Abbeville,Picardie,,France,France,France
Soubise,Marennes,90,Boulogne sur Mer,Picardie,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Rochefort,Rochefort,54,Brest,Bretagne,,France,France,France
Marennes,Marennes,83,Saint Valery en Caux,Normandie,,France,France,France
La Rochelle,La Rochelle,100,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,125,Saint Valéry sur Somme,Picardie,,France,France,France
Charente,Charente,48,Nantes,Bretagne,,France,France,France
La Flotte en Ré,Saint-Martin île de Ré,15,Redon,Bretagne,,France,France,France
Marennes,Marennes,26,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,59,Saint Valery en Caux,Normandie,,France,France,France
Marennes,Marennes,27,Libourne,Guyenne,,France,France,France
Marennes,Marennes,54,Saint Valery en Caux,Normandie,,France,France,France
La Rochelle,La Rochelle,20,Nantes,Bretagne,,France,France,France
Rochefort,Rochefort,52,Nantes,Bretagne,,France,France,France
Marennes,Marennes,80,Saint Valery en Caux,Normandie,,France,France,France
Marennes,Marennes,69,Saint Valery en Caux,Normandie,,France,France,France
Marennes,Marennes,148,Gravelines,Flandre,,France,France,France
Marennes,Marennes,69,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,62,Saint Valéry sur Somme,Picardie,,France,France,France
Rochefort,Rochefort,31,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,55,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,112,Honfleur,Normandie,,France,France,France
Marennes,Marennes,166,Honfleur,Normandie,,France,France,France
Marennes,Marennes,88,Honfleur,Normandie,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,22,Libourne,Guyenne,,France,France,France
Beauvoir-sur-Mer,Sables d'Olonne,48,Nantes,Bretagne,,France,France,France
Marennes,Marennes,121,Honfleur,Normandie,,France,France,France
Marennes,Marennes,53,Bordeaux,Guyenne,,France,France,France
Beauvoir-sur-Mer,Sables d'Olonne,28,Redon,Bretagne,,France,France,France
Beauvoir-sur-Mer,Sables d'Olonne,25,Nantes,Bretagne,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,40,Bordeaux,Guyenne,,France,France,France
Saint Martin de Ré,Saint-Martin île de Ré,9,Côte de Bretagne,Bretagne,,France,France,France
Marennes,Marennes,19,Ile d' Ars,Bretagne,,France,France,France
Marennes,Marennes,73,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,133,Honfleur,Normandie,,France,France,France
Marennes,Marennes,105,Honfleur,Normandie,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,52,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,73,Saint Valéry sur Somme,Picardie,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,50,Nantes,Bretagne,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,29,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,58,Saint Valéry sur Somme,Picardie,,France,France,France
Mortagne,Marennes,18,Quiberon,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,10,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Saint Denis [d' Oléron],Marennes,36,Côte de Bretagne,Bretagne,,France,France,France
La Flotte en Ré,Saint-Martin île de Ré,4,Côte de Bretagne,Bretagne,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,16,Côte de Bretagne,Bretagne,,France,France,France
Saint Gilles sur Vie,Sables d'Olonne,16,Côte de Bretagne,Bretagne,,France,France,France
Marennes,Marennes,113,Honfleur,Normandie,,France,France,France
Ile de Bouin,,28,Nantes,Bretagne,,France,France,France
Marennes,Marennes,66,Etaples,Picardie,,France,France,France
Beauvoir-sur-Mer,Sables d'Olonne,63,Nantes,Bretagne,,France,France,France
Beauvoir-sur-Mer,Sables d'Olonne,40,Nantes,Bretagne,,France,France,France
Marennes,Marennes,93,Etaples,Picardie,,France,France,France
Beauvoir-sur-Mer,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Rochefort,Rochefort,40,Bordeaux,Guyenne,,France,France,France
Beauvoir-sur-Mer,Sables d'Olonne,36,Redon,Bretagne,,France,France,France
Marennes,Marennes,41,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,72,Caen,Normandie,,France,France,France
La Rochelle,La Rochelle,26,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,34,Bordeaux,Guyenne,,France,France,France
La Perrotine,Marennes,18,Plouharnel,Bretagne,,France,France,France
Saint Martin de Ré,Saint-Martin île de Ré,55,Nantes,Bretagne,,France,France,France
Marennes,Marennes,61,Saint Valéry sur Somme,Picardie,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,43,Bordeaux,Guyenne,,France,France,France
Soubise,Marennes,25,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,24,Vannes,Bretagne,,France,France,France
Marennes,Marennes,60,Caen,Normandie,,France,France,France
Ars en Ré,Saint-Martin île de Ré,56,Saint Malo,Bretagne,,France,France,France
Marennes,Marennes,80,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,34,Belle Île,Bretagne,,France,France,France
La Rochelle,La Rochelle,50,Saint Valery en Caux,Normandie,,France,France,France
Marennes,Marennes,47,Saint Valéry sur Somme,Picardie,,France,France,France
Ars en Ré,Saint-Martin île de Ré,120,Saint Malo,Bretagne,,France,France,France
La Rochelle,La Rochelle,100,Dieppe,Normandie,,France,France,France
Marennes,Marennes,69,Saint Valéry sur Somme,Picardie,,France,France,France
Sables d' Olonne,Sables d'Olonne,4,Côte de Bretagne,Bretagne,,France,France,France
Saint Martin de Ré,Saint-Martin île de Ré,16,Locmariaquer,Bretagne,,France,France,France
La Rochelle,La Rochelle,11,Le Croisic,Bretagne,,France,France,France
Marennes,Marennes,98,Honfleur,Normandie,,France,France,France
Marennes,Marennes,68,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,94,Honfleur,Normandie,,France,France,France
La Rochelle,La Rochelle,4,Le Croisic,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,50,Saint Malo,Bretagne,,France,France,France
Rochefort,Rochefort,45,Brest,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,52,Saint Malo,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,60,Saint Malo,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,42,Saint Malo,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,94,Saint Malo,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,40,Saint Malo,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,150,Saint Brieux,Bretagne,,France,France,France
La Rochelle,La Rochelle,12,Le Croisic,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,54,Saint Brieux,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,12,Dans les Couraux,Bretagne,,France,France,France
La Rochelle,La Rochelle,16,Le Croisic,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,6,Le Pornic,Bretagne,,France,France,France
La Rochelle,La Rochelle,10,Le Croisic,Bretagne,,France,France,France
La Rochelle,La Rochelle,12,Le Croisic,Bretagne,,France,France,France
La Rochelle,La Rochelle,18,Le Croisic,Bretagne,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Aligre de Marans,Alligre,4,Côte de Bretagne,Bretagne,,France,France,France
Aligre de Marans,Alligre,4,Côte de Bretagne,Bretagne,,France,France,France
La Rochelle,La Rochelle,10,Le Croisic,Bretagne,,France,France,France
Charente,Charente,58,Nantes,Bretagne,,France,France,France
Marennes,Marennes,108,Etaples,Picardie,,France,France,France
Sables d' Olonne,Sables d'Olonne,4,Côte de Bretagne,Bretagne,,France,France,France
Marennes,Marennes,40,Saint Brieux,Bretagne,,France,France,France
La Rochelle,La Rochelle,7,Le Croisic,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,20,Le Croisic,Bretagne,,France,France,France
La Rochelle,La Rochelle,20,Le Croisic,Bretagne,,France,France,France
Marennes,Marennes,62,Caen,Normandie,,France,France,France
La Rochelle,La Rochelle,75,Calais,Picardie,,France,France,France
La Rochelle,La Rochelle,72,Calais,Picardie,,France,France,France
Saint Denis [d' Oléron],Marennes,30,Côte de Bretagne,Bretagne,,France,France,France
La Rochelle,La Rochelle,60,Calais,Picardie,,France,France,France
Rochefort,Rochefort,130,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,20,Bordeaux,Guyenne,,France,France,France
Rochefort,Rochefort,28,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,12,Le Croisic,Bretagne,,France,France,France
Charente,Charente,110,Rouen,Normandie,,France,France,France
Beauvoir-sur-Mer,Sables d'Olonne,28,Redon,Bretagne,,France,France,France
La Rochelle,La Rochelle,46,Bordeaux,Guyenne,,France,France,France
Ile de Bouin,,32,Redon,Bretagne,,France,France,France
Ile de Bouin,,30,Redon,Bretagne,,France,France,France
Charente,Charente,50,Hennebont,Bretagne,,France,France,France
Charente,Charente,130,Nantes,Bretagne,,France,France,France
Charente,Charente,54,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,24,Le Croisic,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Rochefort,Rochefort,40,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,82,Rouen,Normandie,,France,France,France
Marennes,Marennes,78,Honfleur,Normandie,,France,France,France
Marennes,Marennes,149,Honfleur,Normandie,,France,France,France
Charente,Charente,83,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,9,Bourgneuf,Bretagne,,France,France,France
Ribérou [Saujon],Marennes,40,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,24,Le Croisic,Bretagne,,France,France,France
Ile de Bouin,,26,Nantes,Bretagne,,France,France,France
Ile de Bouin,,30,Nantes,Bretagne,,France,France,France
Aligre de Marans,Alligre,22,Bordeaux,Guyenne,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Ile de Bouin,,28,Redon,Bretagne,,France,France,France
Marennes,Marennes,57,Caen,Normandie,,France,France,France
La Rochelle,La Rochelle,170,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,70,Saint Valéry sur Somme,Picardie,,France,France,France
Aligre de Marans,Alligre,15,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,66,Dieppe,Normandie,,France,France,France
Charente,Charente,72,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Ile de Bouin,,28,Nantes,Bretagne,,France,France,France
Ile de Bouin,,25,Nantes,Bretagne,,France,France,France
Ile de Bouin,,25,Nantes,Bretagne,,France,France,France
Ile de Bouin,,26,Nantes,Bretagne,,France,France,France
Marennes,Marennes,40,Bordeaux,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,40,Nantes,Bretagne,,France,France,France
Ile de Bouin,,80,Nantes,Bretagne,,France,France,France
Charente,Charente,100,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,48,Calais,Picardie,,France,France,France
Aligre de Marans,Alligre,23,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,59,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,16,Le Croisic,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,32,Rouen,Normandie,,France,France,France
Saint Denis [d' Oléron],Marennes,18,Côte de Bretagne,Bretagne,,France,France,France
Ile de Bouin,,26,Nantes,Bretagne,,France,France,France
Ile de Bouin,,15,Nantes,Bretagne,,France,France,France
Ile de Bouin,,22,Nantes,Bretagne,,France,France,France
Aligre de Marans,Alligre,23,Bordeaux,Guyenne,,France,France,France
Ile de Bouin,,70,Redon,Bretagne,,France,France,France
Ile de Bouin,,28,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,70,Bordeaux,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,50,Nantes,Bretagne,,France,France,France
Marennes,Marennes,57,Bordeaux,Guyenne,,France,France,France
Charente,Charente,60,Port Launay,Bretagne,,France,France,France
Marennes,Marennes,40,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,35,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,24,Vannes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,25,Bordeaux,Guyenne,,France,France,France
Rochefort,Rochefort,28,Cherbourg,Normandie,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,20,Nantes,Bretagne,,France,France,France
Aligre de Marans,Alligre,36,Libourne,Guyenne,,France,France,France
Marennes,Marennes,73,Caen,Normandie,,France,France,France
La Rochelle,La Rochelle,4,Le Croisic,Bretagne,,France,France,France
La Rochelle,La Rochelle,125,Saint Valéry sur Somme,Picardie,,France,France,France
Marennes,Marennes,50,Brest,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Marennes,Marennes,56,Bordeaux,Guyenne,,France,France,France
La Tranche sur Mer,Sables d'Olonne,31,Bordeaux,Guyenne,,France,France,France
Rochefort,Rochefort,95,Bordeaux,Guyenne,,France,France,France
Aligre de Marans,Alligre,32,Libourne,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,24,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,40,Nantes,Bretagne,,France,France,France
La Flotte en Ré,Saint-Martin île de Ré,16,Côte de Bretagne,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,38,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
La Flotte en Ré,Saint-Martin île de Ré,25,Auray,Bretagne,,France,France,France
La Rochelle,La Rochelle,160,Saint Valéry sur Somme,Picardie,,France,France,France
Noirmoutier,Sables d'Olonne,17,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,27,Port Louis,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,15,Nantes,Bretagne,,France,France,France
Marennes,Marennes,27,Libourne,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,15,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,15,Nantes,Bretagne,,France,France,France
La Rochelle,La Rochelle,50,Calais,Picardie,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,29,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,17,Nantes,Bretagne,,France,France,France
Rochefort,Rochefort,8,Quimper,Bretagne,,France,France,France
Rochefort,Rochefort,28,Hennebont,Bretagne,,France,France,France
La Rochelle,La Rochelle,14,Le Croisic,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,17,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,12,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,30,Nantes,Bretagne,,France,France,France
Aligre de Marans,Alligre,12,Côte de Bretagne,Bretagne,,France,France,France
La Rochelle,La Rochelle,4,Le Croisic,Bretagne,,France,France,France
Aligre de Marans,Alligre,16,Côte de Bretagne,Bretagne,,France,France,France
Aligre de Marans,Alligre,36,Bordeaux,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,11,Nantes,Bretagne,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,21,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,17,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,60,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,18,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,20,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,12,Nantes,Bretagne,,France,France,France
Marennes,Marennes,30,Libourne,Guyenne,,France,France,France
Marennes,Marennes,16,Morlaix,Bretagne,,France,France,France
La Rochelle,La Rochelle,14,Le Croisic,Bretagne,,France,France,France
Rochefort,Rochefort,36,Bordeaux,Guyenne,,France,France,France
La Rochelle,La Rochelle,11,Le Croisic,Bretagne,,France,France,France
Marennes,Marennes,27,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,39,Libourne,Guyenne,,France,France,France
Marennes,Marennes,45,Libourne,Guyenne,,France,France,France
Marennes,Marennes,38,Libourne,Guyenne,,France,France,France
Marennes,Marennes,36,Libourne,Guyenne,,France,France,France
Marennes,Marennes,48,Libourne,Guyenne,,France,France,France
Marennes,Marennes,27,Libourne,Guyenne,,France,France,France
Marennes,Marennes,29,Libourne,Guyenne,,France,France,France
Marennes,Marennes,36,Libourne,Guyenne,,France,France,France
Marennes,Marennes,27,Libourne,Guyenne,,France,France,France
Marennes,Marennes,38,Libourne,Guyenne,,France,France,France
Charente,Charente,15,Quiberon,Bretagne,,France,France,France
Marennes,Marennes,39,Libourne,Guyenne,,France,France,France
Marennes,Marennes,26,Libourne,Guyenne,,France,France,France
Rochefort,Rochefort,50,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,28,Libourne,Guyenne,,France,France,France
Rochefort,Rochefort,50,Bordeaux,Guyenne,,France,France,France
Aligre de Marans,Alligre,50,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,30,Libourne,Guyenne,,France,France,France
Marennes,Marennes,30,Libourne,Guyenne,,France,France,France
Marennes,Marennes,37,Libourne,Guyenne,,France,France,France
Marennes,Marennes,31,Libourne,Guyenne,,France,France,France
Marennes,Marennes,17,Libourne,Guyenne,,France,France,France
Marennes,Marennes,18,Libourne,Guyenne,,France,France,France
Marennes,Marennes,36,Libourne,Guyenne,,France,France,France
Marennes,Marennes,19,Libourne,Guyenne,,France,France,France
Marennes,Marennes,34,Libourne,Guyenne,,France,France,France
Charente,Charente,26,Bordeaux,Guyenne,,France,France,France
Sables d' Olonne,Sables d'Olonne,4,Côte de Bretagne,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,5,Bourgneuf,Bretagne,,France,France,France
La Rochelle,La Rochelle,4,Le Croisic,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,30,Nantes,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,15,Concarneau,Bretagne,,France,France,France
Marennes,Marennes,28,Bordeaux,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,17,Nantes,Bretagne,,France,France,France
Marennes,Marennes,45,Libourne,Guyenne,,France,France,France
Marennes,Marennes,94,Le Havre,Normandie,,France,France,France
Noirmoutier,Sables d'Olonne,20,Nantes,Bretagne,,France,France,France
Le Chateau [d' Oléron],Marennes,10,Bordeaux,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,2,Bourgneuf,Bretagne,,France,France,France
Aligre de Marans,Alligre,15,Bordeaux,Guyenne,,France,France,France
Noirmoutier,Sables d'Olonne,15,Nantes,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,70,Granville,Normandie,,France,France,France
Noirmoutier,Sables d'Olonne,30,Nantes,Bretagne,,France,France,France
Ile de Bouin,,70,Gravelines,Flandre,,France,France,France
Le Chateau [d' Oléron],Marennes,15,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,242,Honfleur,Normandie,,France,France,France
Aligre de Marans,Alligre,18,Locmariaquer,Bretagne,,France,France,France
Marennes,Marennes,63,Caen,Normandie,,France,France,France
Marennes,Marennes,244,Honfleur,Normandie,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Ile de Bouin,,20,Nantes,Bretagne,,France,France,France
Marennes,Marennes,83,Le Havre,Normandie,,France,France,France
Rochefort,Rochefort,36,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,61,Gravelines,Flandre,,France,France,France
Ile de Bouin,,22,Nantes,Bretagne,,France,France,France
Aligre de Marans,Alligre,32,Bordeaux,Guyenne,,France,France,France
Rochefort,Rochefort,70,Brest,Bretagne,,France,France,France
La Rochelle,La Rochelle,70,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,8,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,38,Castelnaut,Guyenne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,33,Boulogne sur Mer,Picardie,,France,France,France
Marennes,Marennes,38,Bordeaux,Guyenne,,France,France,France
Rochefort,Rochefort,54,Brest,Bretagne,,France,France,France
Aligre de Marans,Alligre,27,Côte de Bretagne,Bretagne,,France,France,France
La Rochelle,La Rochelle,80,Saint Valéry sur Somme,Picardie,,France,France,France
La Rochelle,La Rochelle,15,Le Croisic,Bretagne,,France,France,France
Marennes,Marennes,61,Caen,Normandie,,France,France,France
Ars en Ré,Saint-Martin île de Ré,55,Saint Brieux,Bretagne,,France,France,France
Marennes,Marennes,107,Saint Brieux,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,39,Pontrieux,Bretagne,,France,France,France
Marennes,Marennes,153,Honfleur,Normandie,,France,France,France
Marennes,Marennes,107,Honfleur,Normandie,,France,France,France
Marennes,Marennes,57,Honfleur,Normandie,,France,France,France
Marennes,Marennes,107,Honfleur,Normandie,,France,France,France
Marennes,Marennes,166,Le Havre,Normandie,,France,France,France
Marennes,Marennes,62,Gravelines,Flandre,,France,France,France
Marennes,Marennes,56,Gravelines,Flandre,,France,France,France
Noirmoutier,Sables d'Olonne,28,Nantes,Bretagne,,France,France,France
Marennes,Marennes,103,Dieppe,Normandie,,France,France,France
Marennes,Marennes,60,Dieppe,Normandie,,France,France,France
Marennes,Marennes,58,Caen,Normandie,,France,France,France
Marennes,Marennes,65,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,58,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,52,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,38,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,115,Bordeaux,Guyenne,,France,France,France
Marennes,Marennes,60,Bordeaux,Guyenne,,France,France,France
Rochefort,Rochefort,80,Saint Malo,Bretagne,,France,France,France
Aligre de Marans,Alligre,26,La Teste,Guyenne,,France,France,France
La Flotte en Ré,Saint-Martin île de Ré,7,Arzon,Bretagne,,France,France,France
Rochefort,Rochefort,64,Cherbourg,Normandie,,France,France,France
Marennes,Marennes,28,Vannes,Bretagne,,France,France,France
Charente,Charente,83,Nantes,Bretagne,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Marennes,Marennes,90,Caen,Normandie,,France,France,France
Ribérou [Saujon],Marennes,10,Côte de Bretagne,Bretagne,,France,France,France
Ribérou [Saujon],Marennes,40,Auray,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,155,Saint Malo,Bretagne,,France,France,France
Ars en Ré,Saint-Martin île de Ré,65,Saint Malo,Bretagne,,France,France,France
