flow_type,customs_office,product,partner,value
export,La Rochelle,autres produits,Ports francs et petites îles,850
export,La Rochelle,autres produits,Ports francs et petites îles,345
export,La Rochelle,autres produits,Ports francs et petites îles,144
export,La Rochelle,autres produits,Ports francs et petites îles,556
export,La Rochelle,autres produits,Ports francs et petites îles,840
export,La Rochelle,autres produits,Ports francs et petites îles,300
export,La Rochelle,autres produits,Ports francs et petites îles,300
export,La Rochelle,autres produits,Ports francs et petites îles,130
export,La Rochelle,autres produits,Ports francs et petites îles,8805
export,La Rochelle,autres produits,Ports francs et petites îles,240
export,La Rochelle,autres produits,Ports francs et petites îles,264
export,La Rochelle,autres produits,Ports francs et petites îles,870
export,La Rochelle,autres produits,Ports francs et petites îles,120
export,La Rochelle,autres produits,Ports francs et petites îles,1098
export,La Rochelle,autres produits,Ports francs et petites îles,1017.8
export,La Rochelle,autres produits,Ports francs et petites îles,1684
export,La Rochelle,autres produits,Ports francs et petites îles,2665
export,La Rochelle,autres produits,Ports francs et petites îles,210
export,La Rochelle,autres produits,Ports francs et petites îles,350
export,La Rochelle,autres produits,Ports francs et petites îles,1344
export,La Rochelle,autres produits,Ports francs et petites îles,660
export,La Rochelle,autres produits,Ports francs et petites îles,1320
export,La Rochelle,autres produits,Ports francs et petites îles,520
export,La Rochelle,autres produits,Ports francs et petites îles,1950
export,La Rochelle,autres produits,Europe,8000
export,La Rochelle,autres produits,Ports francs et petites îles,267.20001
export,La Rochelle,eau-de-vie et vins divers,Europe,2640.5278
export,La Rochelle,eau-de-vie et vins divers,Europe,3343.824
export,La Rochelle,eau-de-vie et vins divers,Europe,2776.752
export,La Rochelle,"produit colonial ('Café', 'Sucre', 'Indigo', 'Coton non transformé')",Ports francs et petites îles,1399.1001
export,La Rochelle,autres produits,Ports francs et petites îles,120
export,La Rochelle,autres produits,Ports francs et petites îles,108
export,La Rochelle,autres produits,Ports francs et petites îles,539
export,La Rochelle,autres produits,Ports francs et petites îles,7135
export,La Rochelle,autres produits,Ports francs et petites îles,2172
export,La Rochelle,autres produits,Ports francs et petites îles,1840
export,La Rochelle,autres produits,Ports francs et petites îles,1899
export,La Rochelle,autres produits,Ports francs et petites îles,618
export,La Rochelle,autres produits,Ports francs et petites îles,2092
export,La Rochelle,autres produits,Ports francs et petites îles,416
export,La Rochelle,autres produits,Ports francs et petites îles,144
export,La Rochelle,autres produits,Ports francs et petites îles,4372.5
